space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
-3000, 0.972442
-2977.94, 0.972068
-2955.89, 0.971894
-2933.83, 0.971965
-2911.77, 0.972268
-2889.71, 0.972736
-2867.66, 0.973263
-2845.6, 0.97373
-2823.54, 0.974031
-2801.49, 0.974099
-2779.43, 0.973924
-2757.37, 0.973549
-2735.32, 0.973067
-2713.26, 0.972592
-2691.2, 0.972237
-2669.14, 0.972087
-2647.09, 0.972171
-2625.03, 0.972469
-2602.97, 0.972903
-2580.92, 0.973366
-2558.86, 0.973743
-2536.8, 0.973939
-2514.75, 0.973904
-2492.69, 0.973642
-2470.63, 0.973213
-2448.57, 0.972718
-2426.52, 0.972273
-2404.46, 0.971986
-2382.4, 0.971926
-2360.35, 0.972109
-2338.29, 0.972495
-2316.23, 0.972995
-2294.17, 0.973493
-2272.12, 0.973875
-2250.06, 0.97405
-2228, 0.973984
-2205.95, 0.973691
-2183.89, 0.973244
-2161.83, 0.97275
-2139.78, 0.972327
-2117.72, 0.972076
-2095.66, 0.972055
-2073.6, 0.972269
-2051.55, 0.972665
-2029.49, 0.973148
-2007.43, 0.9736
-1985.38, 0.973913
-1963.32, 0.974011
-1941.26, 0.973869
-1919.21, 0.97352
-1897.15, 0.973046
-1875.09, 0.972561
-1853.03, 0.972178
-1830.98, 0.971988
-1808.92, 0.972038
-1786.86, 0.972314
-1764.81, 0.972752
-1742.75, 0.973244
-1720.69, 0.973677
-1698.63, 0.973943
-1676.58, 0.973982
-1654.52, 0.973782
-1632.46, 0.973392
-1610.41, 0.972903
-1588.35, 0.972434
-1566.29, 0.972095
-1544.24, 0.97197
-1522.18, 0.972088
-1500.12, 0.972424
-1478.06, 0.972899
-1456.01, 0.973403
-1433.95, 0.973819
-1411.89, 0.974049
-1389.84, 0.97404
-1367.78, 0.973798
-1345.72, 0.973381
-1323.67, 0.972888
-1301.61, 0.972436
-1279.55, 0.972133
-1257.49, 0.972048
-1235.44, 0.9722
-1213.38, 0.972548
-1191.32, 0.973007
-1169.27, 0.973463
-1147.21, 0.973803
-1125.15, 0.973943
-1103.09, 0.973845
-1081.04, 0.973532
-1058.98, 0.973074
-1036.92, 0.97258
-1014.87, 0.972169
-992.81, 0.971939
-970.753, 0.971948
-948.696, 0.972197
-926.639, 0.972631
-904.582, 0.973153
-882.525, 0.973643
-860.467, 0.97399
-838.41, 0.974116
-816.353, 0.973996
-794.296, 0.973661
-772.239, 0.973193
-750.182, 0.972705
-728.125, 0.972312
-706.068, 0.972106
-684.011, 0.972132
-661.954, 0.972381
-639.897, 0.972787
-617.84, 0.973248
-595.783, 0.973648
-573.726, 0.973887
-551.669, 0.973901
-529.612, 0.973683
-507.555, 0.973281
-485.498, 0.972789
-463.441, 0.972323
-441.384, 0.971995
-419.327, 0.971886
-397.27, 0.972024
-375.213, 0.972382
-353.156, 0.97288
-331.099, 0.973405
-309.042, 0.973839
-286.985, 0.974083
-264.927, 0.974086
-242.87, 0.973851
-220.813, 0.973437
-198.756, 0.972944
-176.699, 0.97249
-154.642, 0.972183
-132.585, 0.972093
-110.528, 0.972236
-88.4712, 0.972579
-66.4142, 0.973026
-50, 0.973149
-38.3175, 0.994205
-29.2553, 1.02209
-20.9404, 1.05608
-15.0224, 1.08486
-10.8103, 1.10752
-7.81245, 1.1247
-5.67876, 1.13742
-4.16014, 1.14673
-3.07928, 1.15348
-2.30999, 1.15835
-1.76246, 1.16184
-1.37277, 1.16434
-1.09541, 1.16613
-0.898002, 1.1674
-0.7575, 1.16831
-0.6575, 1.16896
-0.5575, 1.16961
-0.4575, 1.17026
-0.3575, 1.17092
-0.2575, 1.17157
-0.1575, 1.17222
-0.0575, 1.17287
0.0425, 1.17353
0.1425, 1.17418
0.282676, 1.1751
0.479169, 1.17638
0.754604, 1.17817
1.1407, 1.18067
1.68191, 1.18415
2.44056, 1.189
3.50399, 1.1957
4.99468, 1.20494
7.08426, 1.21755
10.0133, 1.23449
14.1192, 1.2567
19.8747, 1.28449
27.9424, 1.31608
39.2515, 1.34426
50.9543, 1.35196
66.8068, 1.32695
89.0282, 1.23018
111.25, 1.08416
133.471, 0.924156
155.693, 0.788826
177.914, 0.710859
200.135, 0.709096
222.357, 0.783967
244.578, 0.917396
266.8, 1.07716
289.021, 1.22467
311.243, 1.32431
333.464, 1.35201
355.685, 1.30108
377.907, 1.18383
400.128, 1.02858
422.35, 0.872825
444.571, 0.754186
466.793, 0.701315
489.014, 0.726978
511.235, 0.824967
533.457, 0.971607
555.678, 1.13147
577.9, 1.26594
600.121, 1.34252
622.343, 1.34271
644.564, 1.26647
666.785, 1.13222
689.007, 0.972368
711.228, 0.825545
733.45, 0.727216
755.671, 0.701138
777.893, 0.753615
800.114, 0.87198
822.335, 1.02765
844.557, 1.18302
866.778, 1.30057
889, 1.35192
911.221, 1.32466
933.443, 1.22537
955.664, 1.07804
977.885, 0.918262
1000.11, 0.784617
1022.33, 0.709386
1044.55, 0.710738
1066.77, 0.788339
1088.99, 0.92344
1111.21, 1.0834
1133.44, 1.22958
1155.66, 1.32667
1177.88, 1.35121
1200.1, 1.29727
1222.32, 1.17788
1244.54, 1.02188
1266.76, 0.866959
1288.99, 0.750533
1311.21, 0.700732
1333.43, 0.729587
1355.65, 0.830133
1377.87, 0.978086
1400.09, 1.13771
1422.31, 1.27045
1444.54, 1.34425
1466.76, 1.34128
1488.98, 1.26225
1511.2, 1.12627
1533.42, 0.966161
1555.64, 0.820611
1577.86, 0.724772
1600.09, 0.70179
1622.31, 0.757217
1644.53, 0.877661
1666.75, 1.03403
1688.97, 1.18855
1711.19, 1.3039
1733.41, 1.35222
1755.64, 1.32183
1777.86, 1.22008
1800.08, 1.07154
1822.3, 0.912097
1844.52, 0.780265
1866.74, 0.707886
1888.96, 0.712443
1911.19, 0.792835
1933.41, 0.929643
1955.63, 1.08982
1977.85, 1.23467
2000.07, 1.32921
2022.29, 1.35059
2044.51, 1.29366
2066.74, 1.17216
2088.96, 1.01544
2111.18, 0.861351
2133.4, 0.747123
2155.62, 0.700343
2177.84, 0.732315
2200.06, 0.835318
2222.29, 0.984476
2244.51, 1.14376
2266.73, 1.27471
2288.95, 1.34568
2311.17, 1.33955
2333.39, 1.25778
2355.61, 1.12015
2377.84, 0.95988
2400.06, 0.815695
