space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Abs(E)^2
-3000, 0.999497
-2977.78, 0.999199
-2955.57, 0.999016
-2933.35, 0.998983
-2911.13, 0.999104
-2888.92, 0.999359
-2866.7, 0.9997
-2844.48, 1.00007
-2822.27, 1.00039
-2800.05, 1.00062
-2777.83, 1.0007
-2755.62, 1.00063
-2733.4, 1.00042
-2711.18, 1.0001
-2688.97, 0.999731
-2666.75, 0.999385
-2644.53, 0.999121
-2622.32, 0.998986
-2600.1, 0.999006
-2577.88, 0.999177
-2555.67, 0.999466
-2533.45, 0.999824
-2511.23, 1.00018
-2489.02, 1.00048
-2466.8, 1.00067
-2444.58, 1.0007
-2422.37, 1.00058
-2400.15, 1.00032
-2377.93, 0.999981
-2355.72, 0.999615
-2333.5, 0.99929
-2311.29, 0.999065
-2289.07, 0.99898
-2266.85, 0.999052
-2244.64, 0.999266
-2222.42, 0.999585
-2200.2, 0.99995
-2177.99, 1.0003
-2155.77, 1.00056
-2133.55, 1.00069
-2111.34, 1.00067
-2089.12, 1.0005
-2066.9, 1.00021
-2044.69, 0.999855
-2022.47, 0.999496
-2000.25, 0.999198
-1978.04, 0.999017
-1955.82, 0.998984
-1933.6, 0.999105
-1911.39, 0.99936
-1889.17, 0.999701
-1866.95, 1.00007
-1844.74, 1.00039
-1822.52, 1.00062
-1800.3, 1.0007
-1778.09, 1.00063
-1755.87, 1.00042
-1733.65, 1.0001
-1711.44, 0.999733
-1689.22, 0.999387
-1667, 0.999123
-1644.79, 0.998988
-1622.57, 0.999008
-1600.35, 0.999177
-1578.14, 0.999467
-1555.92, 0.999823
-1533.7, 1.00018
-1511.49, 1.00048
-1489.27, 1.00066
-1467.05, 1.00069
-1444.84, 1.00057
-1422.62, 1.00032
-1400.4, 0.999976
-1378.19, 0.99961
-1355.97, 0.999285
-1333.75, 0.99906
-1311.54, 0.998976
-1289.32, 0.999047
-1267.1, 0.999262
-1244.89, 0.99958
-1222.67, 0.999946
-1200.45, 1.00029
-1178.24, 1.00056
-1156.02, 1.00069
-1133.8, 1.00067
-1111.59, 1.0005
-1089.37, 1.00021
-1067.15, 0.999856
-1044.94, 0.999496
-1022.72, 0.999198
-1000.51, 0.999016
