space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Abs(E)^2
-3000, 0.00255467
-2983.52, 0.002553
-2967.04, 0.00258078
-2950.56, 0.0025877
-2934.08, 0.00260654
-2917.6, 0.00261092
-2901.12, 0.00263303
-2884.64, 0.00263155
-2868.17, 0.00263629
-2851.69, 0.00263259
-2835.21, 0.00263835
-2818.73, 0.00264663
-2802.25, 0.00265222
-2785.77, 0.00266094
-2769.29, 0.00264833
-2752.81, 0.00264918
-2736.33, 0.00263068
-2719.85, 0.00262539
-2703.37, 0.00259827
-2686.89, 0.00259819
-2670.41, 0.00256822
-2653.93, 0.00254995
-2637.45, 0.00256
-2620.97, 0.00255163
-2604.5, 0.00255175
-2588.02, 0.00254674
-2571.54, 0.0025453
-2555.06, 0.00253052
-2538.58, 0.00252287
-2522.1, 0.00252522
-2505.62, 0.00252748
-2489.14, 0.0025094
-2472.66, 0.00251085
-2456.18, 0.00251212
-2439.7, 0.00251625
-2423.22, 0.00251089
-2406.74, 0.00251791
-2390.26, 0.00252868
-2373.78, 0.00253061
-2357.31, 0.00253268
-2340.83, 0.00254213
-2324.35, 0.00254204
-2307.87, 0.00253549
-2291.39, 0.00255402
-2274.91, 0.002543
-2258.43, 0.0025438
-2241.95, 0.00254445
-2225.47, 0.00255162
-2208.99, 0.00254142
-2192.51, 0.00252356
-2176.03, 0.00250839
-2159.55, 0.00250535
-2143.07, 0.00250184
-2126.59, 0.00248485
-2110.11, 0.00248004
-2093.64, 0.00246924
-2077.16, 0.00246867
-2060.68, 0.00245297
-2044.2, 0.00245493
-2027.72, 0.0024628
-2011.24, 0.00246473
-1994.76, 0.00246964
-1978.28, 0.0024531
-1961.8, 0.0024413
-1945.32, 0.00243992
-1928.84, 0.00243474
-1912.36, 0.00243475
-1895.88, 0.0024311
-1879.4, 0.00242913
-1862.92, 0.00242448
-1846.45, 0.00242177
-1829.97, 0.00241673
-1813.49, 0.00239463
-1797.01, 0.00236489
-1780.53, 0.00235723
-1764.05, 0.00235669
-1747.57, 0.00234717
-1731.09, 0.00233982
-1714.61, 0.0023047
-1698.13, 0.00227372
-1681.65, 0.00225521
-1665.17, 0.00223727
-1648.69, 0.00222374
-1632.21, 0.00221298
-1615.73, 0.00220236
-1599.25, 0.00221022
-1582.78, 0.00221692
-1566.3, 0.00222397
-1549.82, 0.00223174
-1533.34, 0.00224176
-1516.86, 0.00224029
-1500.38, 0.00221662
-1483.9, 0.00221358
-1467.42, 0.00219979
-1450.94, 0.00217778
-1434.46, 0.00214897
-1417.98, 0.00213266
-1401.5, 0.0021136
-1385.02, 0.00209314
-1368.54, 0.00206882
-1352.06, 0.00204922
-1335.59, 0.00203982
-1319.11, 0.00201266
-1302.63, 0.00199238
-1286.15, 0.00196243
-1269.67, 0.00195441
-1253.19, 0.00194727
-1236.71, 0.00193975
-1220.23, 0.00193694
-1203.75, 0.00193779
-1187.27, 0.00193516
-1170.79, 0.00191976
-1154.31, 0.00191771
-1137.83, 0.00190212
-1121.35, 0.00189829
-1104.87, 0.00188604
-1088.39, 0.00188129
-1071.92, 0.00188932
-1055.44, 0.00190485
-1038.96, 0.00191024
-1022.48, 0.00190418
-1006, 0.0019134
-989.519, 0.00191803
-973.039, 0.00192211
-956.56, 0.00191166
-940.081, 0.00192326
-923.601, 0.00191805
-907.122, 0.00190355
-890.643, 0.00190763
-874.163, 0.00190938
-857.684, 0.00189126
-841.205, 0.00186684
-824.725, 0.00185095
-808.246, 0.00182583
-791.767, 0.0018043
-775.287, 0.00179578
-758.808, 0.00178952
-742.328, 0.00176674
-725.849, 0.00177413
-709.37, 0.00177209
-692.89, 0.0017552
-676.411, 0.0017513
-659.932, 0.00173957
-643.452, 0.00172678
-626.973, 0.00171686
-610.494, 0.00170305
-594.014, 0.00169056
-577.535, 0.00168435
-561.056, 0.00166807
-544.576, 0.00164442
-528.097, 0.00162029
-511.617, 0.00159232
-495.138, 0.00155977
-478.659, 0.00153533
-462.179, 0.00151248
-445.7, 0.00148766
-429.221, 0.00146967
-412.741, 0.00146217
-396.262, 0.00144874
-379.783, 0.0014372
-363.303, 0.00142368
-346.824, 0.00141469
-330.345, 0.00140925
-313.865, 0.00140873
-297.386, 0.00140179
-280.907, 0.00138549
-264.427, 0.00138041
-247.948, 0.0013655
-231.468, 0.00136092
-214.989, 0.00135066
-198.51, 0.0013363
-182.03, 0.00132092
-165.551, 0.00130959
-149.072, 0.00130712
-132.592, 0.00130195
-116.113, 0.0013001
-99.6336, 0.00129498
-83.1543, 0.00128995
-66.6749, 0.00128049
-50.1956, 0.00127
-38.4697, 0.00125941
-29.3359, 0.00125043
-20.9924, 0.00124203
-15.0556, 0.00123568
-10.8313, 0.0012308
-7.82546, 0.00122708
-5.68669, 0.00122429
-4.16485, 0.00122223
-3.082, 0.00122073
-2.31149, 0.00121965
-1.76324, 0.00121885
-1.37313, 0.00121836
-1.09555, 0.00121787
-0.898039, 0.00121756
-0.7575, 0.00121737
-0.6575, 0.00121725
-0.5575, 0.00121713
-0.4575, 0.00121701
-0.3575, 0.00121687
-0.2575, 0.00121673
-0.1575, 0.00121657
-0.0575, 0.00121639
0.0425, 0.00121622
0.1425, 0.00121605
0.283067, 0.00121582
0.480656, 0.00121555
0.758401, 0.00121522
1.14882, 0.00121456
1.69761, 0.00121375
2.46903, 0.00121257
3.55339, 0.00121089
5.07764, 0.00120849
7.22022, 0.00120505
10.232, 0.00120011
14.4655, 0.00119309
20.4164, 0.00118341
28.7814, 0.00117112
37.9691, 0.00116038
49.7275, 0.00114965
66.2558, 0.00113267
82.7842, 0.00111303
99.3125, 0.00110192
115.841, 0.0010937
132.369, 0.00108829
148.898, 0.0010814
165.426, 0.00107248
181.954, 0.00105805
198.483, 0.00104171
215.011, 0.00103007
231.539, 0.00101855
248.068, 0.00100419
264.596, 0.000993887
281.124, 0.000987528
297.653, 0.00098624
314.181, 0.000991687
330.709, 0.000990332
347.238, 0.000988929
363.766, 0.000983329
380.294, 0.000972831
396.823, 0.000956314
413.351, 0.000948337
429.879, 0.000946084
446.408, 0.000940289
462.936, 0.000930405
479.464, 0.000923492
495.993, 0.000914611
512.521, 0.000905025
529.049, 0.000892411
545.578, 0.000886514
562.106, 0.000879594
578.634, 0.000870908
595.163, 0.000858116
611.691, 0.000847344
628.219, 0.000837436
644.748, 0.000832426
661.276, 0.000834092
677.804, 0.000831284
694.333, 0.000823145
710.861, 0.000818887
727.389, 0.000814556
743.918, 0.000803066
760.446, 0.00079537
776.974, 0.000787537
793.503, 0.000777209
810.031, 0.000762932
826.559, 0.000754529
843.088, 0.000749374
859.616, 0.000739667
876.144, 0.000730374
892.673, 0.000724381
