space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Abs(E)^2
-3000, 2.17978e-05
-2983.52, 2.15314e-05
-2967.04, 2.12679e-05
-2950.56, 2.10075e-05
-2934.08, 2.0749e-05
-2917.6, 2.04934e-05
-2901.12, 2.0241e-05
-2884.64, 1.99909e-05
-2868.17, 1.97428e-05
-2851.69, 1.94968e-05
-2835.21, 1.92531e-05
-2818.73, 1.90114e-05
-2802.25, 1.87723e-05
-2785.77, 1.8535e-05
-2769.29, 1.83002e-05
-2752.81, 1.80673e-05
-2736.33, 1.78358e-05
-2719.85, 1.76059e-05
-2703.37, 1.73786e-05
-2686.89, 1.71532e-05
-2670.41, 1.69302e-05
-2653.93, 1.67092e-05
-2637.45, 1.64893e-05
-2620.97, 1.62715e-05
-2604.5, 1.60553e-05
-2588.02, 1.58417e-05
-2571.54, 1.56297e-05
-2555.06, 1.54191e-05
-2538.58, 1.52109e-05
-2522.1, 1.50044e-05
-2505.62, 1.47988e-05
-2489.14, 1.45951e-05
-2472.66, 1.43933e-05
-2456.18, 1.41934e-05
-2439.7, 1.39951e-05
-2423.22, 1.37986e-05
-2406.74, 1.36034e-05
-2390.26, 1.341e-05
-2373.78, 1.32179e-05
-2357.31, 1.30273e-05
-2340.83, 1.28381e-05
-2324.35, 1.26504e-05
-2307.87, 1.24637e-05
-2291.39, 1.22783e-05
-2274.91, 1.20942e-05
-2258.43, 1.19111e-05
-2241.95, 1.17291e-05
-2225.47, 1.15489e-05
-2208.99, 1.13693e-05
-2192.51, 1.11903e-05
-2176.03, 1.10124e-05
-2159.55, 1.08351e-05
-2143.07, 1.06588e-05
-2126.59, 1.04832e-05
-2110.11, 1.03084e-05
-2093.64, 1.0134e-05
-2077.16, 9.96007e-06
-2060.68, 9.7868e-06
-2044.2, 9.61427e-06
-2027.72, 9.44175e-06
-2011.24, 9.26945e-06
-1994.76, 9.09754e-06
-1978.28, 8.92552e-06
-1961.8, 8.75319e-06
-1945.32, 8.58068e-06
-1928.84, 8.40773e-06
-1912.36, 8.2343e-06
-1895.88, 8.0602e-06
