space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
-3000, 1.41003
-2983.52, 1.41079
-2967.04, 1.41157
-2950.56, 1.41237
-2934.08, 1.41316
-2917.6, 1.41392
-2901.12, 1.41465
-2884.64, 1.41532
-2868.17, 1.41591
-2851.69, 1.4164
-2835.21, 1.41679
-2818.73, 1.41707
-2802.25, 1.41722
-2785.77, 1.41724
-2769.29, 1.41713
-2752.81, 1.4169
-2736.33, 1.41655
-2719.85, 1.41609
-2703.37, 1.41555
-2686.89, 1.41493
-2670.41, 1.41426
-2653.93, 1.41355
-2637.45, 1.41282
-2620.97, 1.4121
-2604.5, 1.41139
-2588.02, 1.41071
-2571.54, 1.41007
-2555.06, 1.40949
-2538.58, 1.40896
-2522.1, 1.40849
-2505.62, 1.40809
-2489.14, 1.40774
-2472.66, 1.40745
-2456.18, 1.40721
-2439.7, 1.40702
-2423.22, 1.40686
-2406.74, 1.40675
-2390.26, 1.40666
-2373.78, 1.4066
-2357.31, 1.40658
-2340.83, 1.40658
-2324.35, 1.40661
-2307.87, 1.40667
-2291.39, 1.40678
-2274.91, 1.40693
-2258.43, 1.40713
-2241.95, 1.40738
-2225.47, 1.40769
-2208.99, 1.40807
-2192.51, 1.4085
-2176.03, 1.40899
-2159.55, 1.40953
-2143.07, 1.41012
-2126.59, 1.41074
-2110.11, 1.41137
-2093.64, 1.41202
-2077.16, 1.41265
-2060.68, 1.41325
-2044.2, 1.4138
-2027.72, 1.4143
-2011.24, 1.41471
-1994.76, 1.41504
-1978.28, 1.41528
-1961.8, 1.41541
-1945.32, 1.41543
-1928.84, 1.41536
-1912.36, 1.41518
-1895.88, 1.41491
-1879.4, 1.41457
-1862.92, 1.41416
-1846.45, 1.4137
-1829.97, 1.4132
-1813.49, 1.41269
-1797.01, 1.41217
-1780.53, 1.41167
-1764.05, 1.41119
-1747.57, 1.41075
-1731.09, 1.41035
-1714.61, 1.40999
-1698.13, 1.40968
-1681.65, 1.40942
-1665.17, 1.4092
-1648.69, 1.40902
-1632.21, 1.40887
-1615.73, 1.40875
-1599.25, 1.40865
-1582.78, 1.40857
-1566.3, 1.40849
-1549.82, 1.40842
-1533.34, 1.40835
-1516.86, 1.40828
-1500.38, 1.40823
-1483.9, 1.40818
-1467.42, 1.40815
-1450.94, 1.40815
-1434.46, 1.40818
-1417.98, 1.40824
-1401.5, 1.40835
-1385.02, 1.40851
-1368.54, 1.40873
-1352.06, 1.40899
-1335.59, 1.40931
-1319.11, 1.40968
-1302.63, 1.41009
-1286.15, 1.41053
-1269.67, 1.41098
-1253.19, 1.41145
-1236.71, 1.4119
-1220.23, 1.41233
-1203.75, 1.41272
-1187.27, 1.41307
-1170.79, 1.41334
-1154.31, 1.41355
-1137.83, 1.41368
-1121.35, 1.41373
-1104.87, 1.4137
-1088.39, 1.41359
-1071.92, 1.41341
-1055.44, 1.41316
-1038.96, 1.41287
-1022.48, 1.41255
-1006, 1.4122
-989.519, 1.41185
-973.039, 1.4115
-956.56, 1.41117
-940.081, 1.41087
-923.601, 1.41061
-907.122, 1.41039
-890.643, 1.41022
-874.163, 1.41009
-857.684, 1.41001
-841.205, 1.40997
-824.725, 1.40996
-808.246, 1.40997
-791.767, 1.40999
-775.287, 1.41002
-758.808, 1.41004
-742.328, 1.41006
-725.849, 1.41006
-709.37, 1.41004
-692.89, 1.41001
-676.411, 1.40995
-659.932, 1.40988
-643.452, 1.4098
-626.973, 1.40972
-610.494, 1.40965
-594.014, 1.40959
-577.535, 1.40955
-561.056, 1.40954
-544.576, 1.40957
-528.097, 1.40964
-511.617, 1.40976
-495.138, 1.40991
-478.659, 1.4101
-462.179, 1.41033
-445.7, 1.41058
-429.221, 1.41084
-412.741, 1.4111
-396.262, 1.41136
-379.783, 1.4116
-363.303, 1.4118
-346.824, 1.41197
-330.345, 1.41208
-313.865, 1.41214
-297.386, 1.41214
-280.907, 1.41208
-264.427, 1.41196
-247.948, 1.4118
-231.468, 1.4116
-214.989, 1.41138
-198.51, 1.41113
-182.03, 1.41088
-165.551, 1.41064
-149.072, 1.41042
-132.592, 1.41024
-116.113, 1.41009
-99.6336, 1.41
-83.1543, 1.40996
-66.6749, 1.40996
-50.1956, 1.41002
-38.4697, 1.41006
-29.3359, 1.41009
-20.9924, 1.41008
-15.0556, 1.41006
-10.8313, 1.41004
-7.82546, 1.41002
-5.68669, 1.41
-4.16485, 1.40998
-3.082, 1.40997
-2.31149, 1.40997
-1.76324, 1.40996
-1.37313, 1.40996
-1.09555, 1.40995
-0.898039, 1.40995
-0.7575, 1.40995
-0.6575, 1.40995
-0.5575, 1.40995
-0.4575, 1.40995
-0.3575, 1.40995
-0.2575, 1.40994
-0.1575, 1.40994
-0.0575, 1.40994
0.0425, 1.40994
0.1425, 1.40994
0.282676, 1.40993
0.479169, 1.40992
0.754604, 1.40988
1.1407, 1.40981
1.68191, 1.40966
2.44056, 1.40935
3.50399, 1.40874
4.99468, 1.40753
7.08426, 1.40512
10.0133, 1.40038
14.1192, 1.39108
19.8747, 1.37295
27.9424, 1.3381
39.2515, 1.27275
50.9543, 1.18904
66.8068, 1.05952
89.0282, 0.875533
111.25, 0.7303
133.471, 0.658896
155.693, 0.67857
177.914, 0.784572
200.135, 0.951296
222.357, 1.13847
244.578, 1.30089
266.8, 1.39931
289.021, 1.40997
311.243, 1.3303
333.464, 1.17953
355.685, 0.994091
377.907, 0.818778
400.128, 0.695937
422.35, 0.655242
444.571, 0.706521
466.793, 0.837385
489.014, 1.01622
511.235, 1.19983
533.457, 1.34386
555.678, 1.41351
577.9, 1.39195
600.121, 1.2844
622.343, 1.11683
