space:E: Abs(E)^2 vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Abs(E)^2
-3000, 1.5324
-2983.52, 1.53909
-2967.04, 1.54561
-2950.56, 1.55174
-2934.08, 1.55732
-2917.6, 1.56246
-2901.12, 1.56673
-2884.64, 1.57063
-2868.17, 1.57364
-2851.69, 1.57599
-2835.21, 1.57728
-2818.73, 1.57761
-2802.25, 1.5771
-2785.77, 1.57559
-2769.29, 1.57377
-2752.81, 1.57072
-2736.33, 1.56741
-2719.85, 1.56298
-2703.37, 1.55849
-2686.89, 1.55273
-2670.41, 1.54715
-2653.93, 1.54102
-2637.45, 1.53397
-2620.97, 1.527
-2604.5, 1.51981
-2588.02, 1.51264
-2571.54, 1.50549
-2555.06, 1.49862
-2538.58, 1.49194
-2522.1, 1.48569
-2505.62, 1.47977
-2489.14, 1.47419
-2472.66, 1.46939
-2456.18, 1.46517
-2439.7, 1.46163
-2423.22, 1.45858
-2406.74, 1.45652
-2390.26, 1.45526
-2373.78, 1.45456
-2357.31, 1.45462
-2340.83, 1.45563
-2324.35, 1.45718
-2307.87, 1.45929
-2291.39, 1.46277
-2274.91, 1.46624
-2258.43, 1.47063
-2241.95, 1.47563
-2225.47, 1.48132
-2208.99, 1.48725
-2192.51, 1.49345
-2176.03, 1.50003
-2159.55, 1.50691
-2143.07, 1.514
-2126.59, 1.52109
-2110.11, 1.52815
-2093.64, 1.53506
-2077.16, 1.54171
-2060.68, 1.54815
-2044.2, 1.55396
-2027.72, 1.55913
-2011.24, 1.56386
-1994.76, 1.56788
-1978.28, 1.57166
-1961.8, 1.57454
-1945.32, 1.57634
-1928.84, 1.57742
-1912.36, 1.57752
-1895.88, 1.57687
-1879.4, 1.57537
-1862.92, 1.57311
-1846.45, 1.57007
-1829.97, 1.56633
-1813.49, 1.56228
-1797.01, 1.55781
-1780.53, 1.5525
-1764.05, 1.54662
-1747.57, 1.54048
-1731.09, 1.53403
-1714.61, 1.52746
-1698.13, 1.52087
-1681.65, 1.51427
-1665.17, 1.50777
-1648.69, 1.50142
-1632.21, 1.49533
-1615.73, 1.4895
-1599.25, 1.48439
-1582.78, 1.47961
-1566.3, 1.47531
-1549.82, 1.47155
-1533.34, 1.46844
