space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
-3000, 0.369242
-2977.95, 0.555773
-2955.89, 0.717276
-2933.84, 0.846477
-2911.79, 0.937558
-2889.73, 0.986417
-2867.68, 0.990853
-2845.63, 0.950666
-2823.57, 0.867667
-2801.52, 0.745594
-2779.47, 0.589944
-2757.41, 0.40773
-2735.36, 0.207155
-2713.31, -0.00274468
-2691.25, -0.212516
-2669.2, -0.412711
-2647.15, -0.594314
-2625.09, -0.749144
-2603.04, -0.87023
-2580.99, -0.952116
-2558.93, -0.991116
-2536.88, -0.985472
-2514.83, -0.935438
-2492.78, -0.843269
-2470.72, -0.713114
-2448.67, -0.550837
-2426.62, -0.363745
-2404.56, -0.160266
-2382.51, 0.0504376
-2360.46, 0.258875
-2338.4, 0.455658
-2316.35, 0.631925
-2294.3, 0.779737
-2272.24, 0.892436
-2250.19, 0.964947
-2228.14, 0.994004
-2206.08, 0.978298
-2184.03, 0.918536
-2161.98, 0.817411
-2139.92, 0.679477
-2117.87, 0.510946
-2095.82, 0.319408
-2073.76, 0.113491
-2051.71, -0.0975329
-2029.66, -0.304158
-2007.6, -0.497078
-1985.55, -0.667606
-1963.5, -0.808059
-1941.44, -0.912114
-1919.39, -0.975083
-1897.34, -0.99413
-1875.28, -0.968397
-1853.23, -0.899044
-1831.18, -0.789194
-1809.12, -0.643795
-1787.07, -0.469395
-1765.02, -0.273849
-1742.96, -0.0659638
-1720.91, 0.144897
-1698.86, 0.349237
-1676.8, 0.537852
-1654.75, 0.702249
-1632.7, 0.835022
-1610.65, 0.930191
-1588.59, 0.983471
-1566.54, 0.992461
-1544.49, 0.956756
-1522.43, 0.877965
-1500.38, 0.759636
-1478.33, 0.607098
-1456.27, 0.427221
-1434.22, 0.228106
-1412.17, 0.0187223
-1390.11, -0.191501
-1368.06, -0.393097
-1346.01, -0.576984
-1323.95, -0.734882
-1301.9, -0.859679
-1279.85, -0.945754
-1257.79, -0.98923
-1235.74, -0.988151
-1213.69, -0.942564
-1191.63, -0.854523
-1169.58, -0.727992
-1147.53, -0.568672
-1125.47, -0.383738
-1103.42, -0.181518
-1081.37, 0.0288782
-1059.31, 0.237976
-1037.26, 0.436357
-1015.21, 0.615087
-993.154, 0.766116
-971.101, 0.88264
-949.047, 0.959413
-926.994, 0.992976
-904.941, 0.981819
-882.888, 0.926442
-860.834, 0.82934
-838.781, 0.694886
-816.728, 0.529135
-794.675, 0.339553
-772.621, 0.134678
-750.568, -0.0762633
-728.515, -0.283769
-706.462, -0.478496
-684.408, -0.651673
-662.355, -0.7955
-640.302, -0.9035
-618.249, -0.970809
-596.195, -0.994395
-574.142, -0.973197
-552.089, -0.908169
-530.036, -0.802239
-507.982, -0.660181
-485.929, -0.488391
-463.876, -0.294606
-441.823, -0.0875548
-419.769, 0.123437
-397.716, 0.328868
-375.663, 0.519483
-353.61, 0.6867
-331.556, 0.822985
-309.503, 0.922202
-287.45, 0.979881
-265.397, 0.993424
-243.343, 0.962222
-221.29, 0.887679
-199.237, 0.773153
-177.184, 0.623801
-155.13, 0.446351
-133.077, 0.248794
-111.024, 0.0400261
-88.9705, -0.170544
-66.9173, -0.373448
-51.1772, -0.507964
-39.651, -0.599098
-28.4169, -0.680821
-20.3988, -0.734282
-14.6761, -0.769765
-10.5916, -0.795495
-7.67635, -0.814073
-5.59568, -0.827442
-4.11065, -0.837041
