space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
-3000, 0.267414
-2977.78, 0.4661
-2955.57, 0.643482
-2933.35, 0.791451
-2911.13, 0.903245
-2888.92, 0.973753
-2866.7, 0.999752
-2844.48, 0.980055
-2822.27, 0.915561
-2800.05, 0.809218
-2777.83, 0.665888
-2755.62, 0.492121
-2733.4, 0.29586
-2711.18, 0.0860758
-2688.97, -0.127643
-2666.75, -0.335527
-2644.53, -0.528075
-2622.32, -0.696486
-2600.1, -0.833061
-2577.88, -0.931559
-2555.67, -0.987477
-2533.45, -0.998259
-2511.23, -0.963413
-2489.02, -0.884531
-2466.8, -0.765218
-2444.58, -0.610928
-2422.37, -0.428714
-2400.15, -0.226904
-2377.93, -0.0147232
-2355.72, 0.198131
-2333.5, 0.401929
-2311.29, 0.587356
-2289.07, 0.745936
-2266.85, 0.87042
-2244.64, 0.955119
-2222.42, 0.996161
-2200.2, 0.991671
-2177.99, 0.941852
-2155.77, 0.848984
-2133.55, 0.71731
-2111.34, 0.552848
-2089.12, 0.363117
-2066.9, 0.156789
-2044.69, -0.0567062
-2022.47, -0.267609
-2000.25, -0.46628
-1978.04, -0.643638
-1955.82, -0.791576
-1933.6, -0.903332
-1911.39, -0.973799
-1889.17, -0.999755
-1866.95, -0.980015
-1844.74, -0.915479
-1822.52, -0.809099
-1800.3, -0.665736
-1778.09, -0.491944
-1755.87, -0.295666
-1733.65, -0.0858738
-1711.44, 0.127844
-1689.22, 0.335718
-1667, 0.528247
-1644.79, 0.696631
-1622.57, 0.833173
-1600.35, 0.931632
-1578.14, 0.987508
-1555.92, 0.998248
-1533.7, 0.963358
-1511.49, 0.884436
-1489.27, 0.765088
-1467.05, 0.610769
-1444.84, 0.428532
-1422.62, 0.226708
-1400.4, 0.0145221
-1378.19, -0.198328
-1355.97, -0.402113
-1333.75, -0.587518
-1311.54, -0.746068
-1289.32, -0.870517
-1267.1, -0.955176
-1244.89, -0.996176
-1222.67, -0.991642
-1200.45, -0.941783
-1178.24, -0.848876
-1156.02, -0.717168
-1133.8, -0.55268
-1111.59, -0.36293
-1089.37, -0.156591
-1067.15, 0.0569052
-1044.94, 0.267801
-1022.72, 0.466455
-1000.51, 0.643789
-978.288, 0.791697
-956.072, 0.903417
-933.855, 0.973844
-911.639, 0.999758
-889.422, 0.979975
-867.205, 0.9154
-844.989, 0.808982
-822.772, 0.665589
-800.556, 0.491771
-778.339, 0.295477
-756.122, 0.0856759
-733.906, -0.128041
-711.689, -0.335905
-689.472, -0.528416
-667.256, -0.696773
-645.039, -0.833283
-622.823, -0.931704
-600.606, -0.987539
-578.389, -0.998236
-556.173, -0.963304
-533.956, -0.884342
-511.74, -0.764959
-489.523, -0.61061
-467.306, -0.428351
-445.09, -0.226514
-422.873, -0.0143224
-400.657, 0.198524
-378.44, 0.402295
-356.223, 0.587679
-334.007, 0.746201
-311.79, 0.870615
-289.573, 0.955235
-267.357, 0.996193
-245.14, 0.991617
-222.924, 0.941716
-200.707, 0.848771
-178.49, 0.71703
-156.274, 0.552514
-134.057, 0.362745
-111.841, 0.156395
-89.6239, -0.0571038
-67.4073, -0.267992
-51.558, -0.410953
-39.8603, -0.510336
-28.5534, -0.600251
-20.4871, -0.660053
-14.7326, -0.700285
-10.6273, -0.727674
-7.69861, -0.746519
-5.60928, -0.759601
-4.11876, -0.768746
-3.05542, -0.775173
-2.29683, -0.779709
-1.75566, -0.782919
-1.36959, -0.785196
-1.09416, -0.786815
-0.897674, -0.787965
