space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=5.63798e-07(m) 

x(nm), Re(Ey)
-3000, 0.319348
-2983.52, 0.465789
-2967.04, 0.605084
-2950.56, 0.7356
-2934.08, 0.854964
-2917.6, 0.961596
-2901.12, 1.05351
-2884.64, 1.1297
-2868.17, 1.18867
-2851.69, 1.22965
-2835.21, 1.25183
-2818.73, 1.25493
-2802.25, 1.23897
-2785.77, 1.20412
-2769.29, 1.15117
-2752.81, 1.0806
-2736.33, 0.993821
-2719.85, 0.89186
-2703.37, 0.776634
-2686.89, 0.649465
-2670.41, 0.512878
-2653.93, 0.368572
-2637.45, 0.218655
-2620.97, 0.0659097
-2604.5, -0.0875581
-2588.02, -0.23923
-2571.54, -0.38683
-2555.06, -0.527916
-2538.58, -0.660484
-2522.1, -0.782512
-2505.62, -0.891982
-2489.14, -0.987026
-2472.66, -1.06655
-2456.18, -1.12911
-2439.7, -1.17377
-2423.22, -1.19972
-2406.74, -1.20678
-2390.26, -1.19472
-2373.78, -1.16364
-2357.31, -1.1141
-2340.83, -1.04694
-2324.35, -0.963028
-2307.87, -0.863744
-2291.39, -0.750881
-2274.91, -0.625708
-2258.43, -0.490563
-2241.95, -0.347427
-2225.47, -0.198586
-2208.99, -0.046134
-2192.51, 0.107439
-2176.03, 0.259654
-2159.55, 0.40805
-2143.07, 0.550464
-2126.59, 0.684773
-2110.11, 0.808659
-2093.64, 0.920351
-2077.16, 1.01798
-2060.68, 1.10025
-2044.2, 1.16558
-2027.72, 1.21306
-2011.24, 1.24209
-1994.76, 1.25212
-1978.28, 1.24321
-1961.8, 1.21522
-1945.32, 1.16856
-1928.84, 1.10409
-1912.36, 1.02272
-1895.88, 0.925805
-1879.4, 0.814785
-1862.92, 0.691447
-1846.45, 0.557638
-1829.97, 0.415498
-1813.49, 0.267348
-1797.01, 0.115371
-1780.53, -0.0383466
-1764.05, -0.191231
-1747.57, -0.340766
-1731.09, -0.484739
-1714.61, -0.620641
-1698.13, -0.746724
-1681.65, -0.861069
-1665.17, -0.961792
-1648.69, -1.04735
-1632.21, -1.1164
-1615.73, -1.16784
-1599.25, -1.20106
-1582.78, -1.21529
-1566.3, -1.21036
-1549.82, -1.18634
-1533.34, -1.14361
-1516.86, -1.08271
-1500.38, -1.00453
-1483.9, -0.910723
-1467.42, -0.802398
-1450.94, -0.6813
-1434.46, -0.549351
-1417.98, -0.408797
-1401.5, -0.261643
-1385.02, -0.110207
-1368.54, 0.043181
-1352.06, 0.19602
-1335.59, 0.345925
-1319.11, 0.490833
-1302.63, 0.628213
-1286.15, 0.756095
-1269.67, 0.872147
-1253.19, 0.974857
-1236.71, 1.06261
-1220.23, 1.13399
-1203.75, 1.18792
-1187.27, 1.22364
-1170.79, 1.24065
-1154.31, 1.23841
-1137.83, 1.21724
-1121.35, 1.17718
-1104.87, 1.11909
-1088.39, 1.04368
-1071.92, 0.952081
-1055.44, 0.84582
-1038.96, 0.726768
-1022.48, 0.596704
-1006, 0.457364
-989.519, 0.311167
-973.039, 0.160331
-956.56, 0.00731724
-940.081, -0.145908
-923.601, -0.296463
-907.122, -0.442191
-890.643, -0.581122
-874.163, -0.710803
-857.684, -0.829051
-841.205, -0.934256
-824.725, -1.02496
-808.246, -1.0995
-791.767, -1.15694
-775.287, -1.19644
-758.808, -1.21722
-742.328, -1.21876
-725.849, -1.20163
-709.37, -1.16551
-692.89, -1.11094
-676.411, -1.03921
-659.932, -0.951079
-643.452, -0.848071
-626.973, -0.731811
-610.494, -0.604029
-594.014, -0.466813
-577.535, -0.322293
-561.056, -0.172553
-544.576, -0.0199519
-528.097, 0.132981
-511.617, 0.283934
-495.138, 0.430536
-478.659, 0.570335
-462.179, 0.701287
-445.7, 0.821419
-429.221, 0.928694
-412.741, 1.02147
-396.262, 1.09858
-379.783, 1.15863
-363.303, 1.20079
-346.824, 1.22425
-330.345, 1.22871
-313.865, 1.21408
-297.386, 1.18081
-280.907, 1.12934
-264.427, 1.06017
-247.948, 0.974728
-231.468, 0.873987
-214.989, 0.759817
-198.51, 0.633951
-182.03, 0.498226
-165.551, 0.354691
-149.072, 0.20554
-132.592, 0.0533274
-116.113, -0.0996836
-99.6336, -0.251058
-83.1543, -0.39844
-66.6749, -0.539566
-50.1956, -0.672233
-38.4697, -0.760232
-29.3359, -0.824634
-20.9924, -0.880023
-15.0556, -0.917295
-10.8313, -0.942684
-7.82546, -0.960159
-5.68669, -0.97229
-4.16485, -0.980766
-3.082, -0.986717
-2.31149, -0.990911
-1.76324, -0.993876
-1.37313, -0.995969
-1.09555, -0.997463
-0.898039, -0.998521
-0.7575, -0.99927
-0.6575, -0.999801
-0.5575, -1.00033
-0.4575, -1.00086
-0.3575, -1.00139
-0.2575, -1.00192
-0.1575, -1.00245
-0.0575, -1.00298
0.0425, -1.00352
0.1425, -1.00405
0.283067, -1.00479
0.480656, -1.00583
0.758401, -1.00728
1.14882, -1.00933
1.69761, -1.01219
2.46903, -1.01617
3.55339, -1.02172
5.07764, -1.0294
7.22022, -1.03996
10.232, -1.05435
14.4655, -1.07365
20.4164, -1.09893
28.7814, -1.13076
37.9691, -1.16056
49.7275, -1.19058
66.2558, -1.21679
82.7842, -1.2239
99.3125, -1.21208
115.841, -1.18131
132.369, -1.13203
148.898, -1.06498
165.426, -0.981164
181.954, -0.881916
198.483, -0.768923
215.011, -0.644023
231.539, -0.509093
248.068, -0.366105
264.596, -0.217563
281.124, -0.0656748
297.653, 0.0871824
314.181, 0.238632
330.709, 0.386603
347.238, 0.528559
363.766, 0.662362
380.294, 0.785838
396.823, 0.897095
413.351, 0.993968
429.879, 1.07519
446.408, 1.13975
462.936, 1.18659
479.464, 1.21469
495.993, 1.22391
512.521, 1.21391
529.049, 1.18496
545.578, 1.13723
562.106, 1.07179
578.634, 0.98965
595.163, 0.892061
611.691, 0.780383
628.219, 0.656427
644.748, 0.52202
661.276, 0.379371
677.804, 0.23105
694.333, 0.0791567
710.861, -0.0740894
727.389, -0.22623
743.918, -0.374641
760.446, -0.517446
776.974, -0.652216
793.503, -0.776704
810.031, -0.889042
826.559, -0.987836
843.088, -1.07124
859.616, -1.13767
876.144, -1.18646
892.673, -1.21684
909.201, -1.2282
925.729, -1.22028
942.258, -1.19312
958.786, -1.14749
975.314, -1.08399
991.843, -1.00378
1008.37, -0.90791
1024.9, -0.798058
1041.43, -0.675753
1057.96, -0.542679
1074.48, -0.401187
1091.01, -0.253553
1107.54, -0.102124
1124.07, 0.050763
1140.6, 0.202814
1157.13, 0.351647
1173.65, 0.495013
1190.18, 0.630743
1206.71, 0.756426
1223.24, 0.870238
1239.77, 0.970383
1256.3, 1.05522
1272.82, 1.12361
1289.35, 1.17419
1305.88, 1.20653
1322.41, 1.21988
1338.94, 1.21386
1355.47, 1.18879
1371.99, 1.14502
1388.52, 1.08337
1405.05, 1.0047
1421.58, 0.910304
1438.11, 0.801501
1454.64, 0.680056
1471.16, 0.547791
1487.69, 0.406926
1504.22, 0.259666
1520.75, 0.108302
1537.28, -0.0448139
1553.81, -0.197509
1570.33, -0.347173
1586.86, -0.491402
1603.39, -0.627895
1619.92, -0.754429
1636.45, -0.869018
1652.98, -0.970436
1669.5, -1.05668
1686.03, -1.12634
1702.56, -1.17847
1719.09, -1.21219
1735.62, -1.22721
1752.15, -1.22305
1768.67, -1.1999
1785.2, -1.15797
1801.73, -1.09787
1818.26, -1.02049
1834.79, -0.927262
1851.32, -0.819385
1867.84, -0.698685
1884.37, -0.567091
