space:E: Re(Ey) vs x, y=0(m), z=0(m), lambda=6.52921e-07(m) 

x(nm), Re(Ey)
-3000, 0.00107426
-2983.52, 0.00109136
-2967.04, 0.00110785
-2950.56, 0.00112406
-2934.08, 0.00113997
-2917.6, 0.00115522
-2901.12, 0.00117026
-2884.64, 0.0011848
-2868.17, 0.00119891
-2851.69, 0.00121265
-2835.21, 0.00122594
-2818.73, 0.00123876
-2802.25, 0.0012512
-2785.77, 0.00126327
-2769.29, 0.00127488
-2752.81, 0.00128616
-2736.33, 0.00129699
-2719.85, 0.00130725
-2703.37, 0.00131736
-2686.89, 0.00132686
-2670.41, 0.001336
-2653.93, 0.00134487
-2637.45, 0.00135337
-2620.97, 0.00136155
-2604.5, 0.00136921
-2588.02, 0.00137646
-2571.54, 0.00138324
-2555.06, 0.00138983
-2538.58, 0.00139589
-2522.1, 0.00140181
-2505.62, 0.00140726
-2489.14, 0.00141224
-2472.66, 0.00141688
-2456.18, 0.00142106
-2439.7, 0.00142484
-2423.22, 0.00142835
-2406.74, 0.00143152
-2390.26, 0.00143423
-2373.78, 0.00143659
-2357.31, 0.00143878
-2340.83, 0.00144046
-2324.35, 0.00144164
-2307.87, 0.00144256
-2291.39, 0.00144289
-2274.91, 0.00144294
-2258.43, 0.00144262
-2241.95, 0.00144172
-2225.47, 0.00144056
-2208.99, 0.00143903
-2192.51, 0.00143707
-2176.03, 0.00143456
-2159.55, 0.00143169
-2143.07, 0.00142829
-2126.59, 0.00142435
-2110.11, 0.00141992
-2093.64, 0.00141485
-2077.16, 0.00140946
-2060.68, 0.0014034
-2044.2, 0.00139671
-2027.72, 0.00138961
-2011.24, 0.00138164
-1994.76, 0.00137316
-1978.28, 0.00136403
-1961.8, 0.00135431
-1945.32, 0.00134383
-1928.84, 0.00133235
-1912.36, 0.00132011
-1895.88, 0.0013068
-1879.4, 0.00129267
-1862.92, 0.00127743
-1846.45, 0.00126107
-1829.97, 0.00124357
-1813.49, 0.00122473
-1797.01, 0.00120476
-1780.53, 0.00118307
-1764.05, 0.00115999
-1747.57, 0.00113521
-1731.09, 0.00110852
-1714.61, 0.00107989
-1698.13, 0.00104936
-1681.65, 0.0010163
-1665.17, 0.00098086
-1648.69, 0.000942992
-1632.21, 0.000902123
-1615.73, 0.000858033
-1599.25, 0.000810726
-1582.78, 0.000759867
-1566.3, 0.000704949
-1549.82, 0.000646016
-1533.34, 0.000582381
-1516.86, 0.000514025
-1500.38, 0.000440203
-1483.9, 0.000360481
-1467.42, 0.00027446
-1450.94, 0.000181511
-1434.46, 8.11414e-05
-1417.98, -2.74869e-05
-1401.5, -0.000144761
-1385.02, -0.000271682
-1368.54, -0.000408913
-1352.06, -0.000557458
-1335.59, -0.000718256
-1319.11, -0.000892541
-1302.63, -0.00108126
-1286.15, -0.00128576
-1269.67, -0.00150758
-1253.19, -0.0017479
-1236.71, -0.0020085
-1220.23, -0.00229097
-1203.75, -0.00259747
-1187.27, -0.00293009
-1170.79, -0.0032911
-1154.31, -0.00368305
-1137.83, -0.00410852
-1121.35, -0.0045704
-1104.87, -0.00507195
-1088.39, -0.00561681
-1071.92, -0.00620856
-1055.44, -0.0068515
-1038.96, -0.00755017
-1022.48, -0.00830932
-1006, -0.00913411
-989.519, -0.0100306
-973.039, -0.011005
-956.56, -0.0120641
-940.081, -0.0132155
-923.601, -0.0144673
-907.122, -0.0158281
-890.643, -0.0173079
-874.163, -0.0189168
-857.684, -0.0206666
-841.205, -0.0225694
-824.725, -0.0246387
-808.246, -0.0268891
-791.767, -0.0293367
-775.287, -0.0319988
-758.808, -0.0348944
-742.328, -0.0380443
-725.849, -0.0414706
-709.37, -0.0451978
-692.89, -0.0492524
-676.411, -0.0536633
-659.932, -0.0584619
