       0.010000 -132773.777783  -95859.870651       2.377241
       0.020000  -33190.355281  -23961.897575       2.051947
       0.030000  -14749.021534  -10647.792647       1.907055
       0.040000   -8294.582363   -5988.017497       1.827576
       0.050000   -5307.117648   -3831.301321       1.777579
       0.060000   -3684.310533   -2659.812004       1.742559
       0.070000   -2705.819707   -1953.482538       1.716045
       0.080000   -2070.751314   -1495.077491       1.694891
       0.090000   -1635.360375   -1180.818546       1.677454
       0.100000   -1323.938145    -956.047855       1.662782
       0.110000   -1093.531403    -789.756102       1.650225
       0.120000    -918.297802    -663.286972       1.639290
       0.130000    -781.932655    -564.869496       1.629639
       0.140000    -673.736877    -486.779699       1.621116
       0.150000    -586.454360    -423.779676       1.613702
       0.160000    -515.023428    -372.216232       1.607411
       0.170000    -455.825848    -329.478498       1.602176
       0.180000    -406.219341    -293.660207       1.597831
       0.190000    -364.237967    -263.343219       1.594162
       0.200000    -328.394859    -237.455035       1.590978
       0.210000    -297.548896    -215.172574       1.588122
       0.220000    -270.812443    -195.855657       1.585476
       0.230000    -247.486395    -179.000191       1.582955
       0.240000    -227.013926    -164.204782       1.580506
       0.250000    -208.947205    -151.146615       1.578096
       0.260000    -192.923009    -139.563757       1.575701
       0.270000    -178.644375    -129.241933       1.573318
       0.280000    -165.866532    -120.004471       1.570966
       0.290000    -154.386074    -111.704612       1.568695
       0.300000    -144.032700    -104.219592       1.566556
       0.310000    -134.662994     -97.446079       1.564593
       0.320000    -126.155658     -91.296615       1.562830
       0.330000    -118.407679     -85.696798       1.561271
       0.340000    -111.331110     -80.583013       1.559908
       0.350000    -104.850380     -75.900603       1.558729
       0.360000     -98.900117     -71.602395       1.557729
       0.370000     -93.423492     -67.647490       1.556899
       0.380000     -88.370997     -64.000277       1.556214
       0.390000     -83.699473     -60.629637       1.555622
       0.400000     -79.371217     -57.508284       1.555059
       0.410000     -75.353128     -54.612227       1.554469
       0.420000     -71.615937     -51.920319       1.553837
       0.430000     -68.133571     -49.413850       1.553187
       0.440000     -64.882724     -47.076196       1.552558
       0.450000     -61.842589     -44.892525       1.551977
       0.460000     -58.994635     -42.849579       1.551461
       0.470000     -56.322380     -40.935506       1.551023
       0.480000     -53.811138     -39.139714       1.550663
       0.490000     -51.447777     -37.452718       1.550347
       0.500000     -49.220486     -35.865963       1.550017
       0.510000     -47.118574     -34.371680       1.549637
       0.520000     -45.132283     -32.962787       1.549223
       0.530000     -43.252666     -31.632858       1.548818
       0.540000     -41.471523     -30.376105       1.548449
       0.550000     -39.781364     -29.187325       1.548127
       0.560000     -38.175366     -28.061803       1.547868
       0.570000     -36.647310     -26.995190       1.547705
       0.580000     -35.191502     -25.983426       1.547651
       0.590000     -33.802697     -25.022737       1.547671
       0.600000     -32.476073     -24.109684       1.547706
       0.610000     -31.207249     -23.241183       1.547718
       0.620000     -29.992356     -22.414464       1.547713
       0.630000     -28.828132     -21.626968       1.547724
       0.640000     -27.712061     -20.876275       1.547765
       0.650000     -26.642565     -20.160116       1.547821
       0.660000     -25.619276     -19.476435       1.547861
       0.670000     -24.643431     -18.823421       1.547856
       0.680000     -23.718355     -18.199442       1.547796
       0.690000     -22.849975     -17.602918       1.547687
       0.700000     -22.047003     -17.032264       1.547553
       0.710000     -21.320181     -16.485943       1.547428
       0.720000     -20.679799     -15.962633       1.547351
       0.730000     -20.131358     -15.461330       1.547356
       0.740000     -19.670991     -14.981269       1.547465
       0.750000     -19.283930     -14.521674       1.547682
       0.760000     -18.948097     -14.081520       1.547983
       0.770000     -18.640843     -13.659497       1.548316
       0.780000     -18.344460     -13.254170       1.548613
       0.790000     -18.048017     -12.864195       1.548814
       0.800000     -17.746225     -12.488413       1.548899
       0.810000     -17.437226     -12.125810       1.548887
       0.820000     -17.120521     -11.775409       1.548817
       0.830000     -16.795478     -11.436222       1.548719
       0.840000     -16.460433     -11.107313       1.548619
       0.850000     -16.112475     -10.787906       1.548555
       0.860000     -15.748082     -10.477451       1.548584
       0.870000     -15.364603     -10.175617       1.548753
       0.880000     -14.962018      -9.882239       1.549067
       0.890000     -14.543928      -9.597232       1.549471
       0.900000     -14.117162      -9.320527       1.549881
       0.910000     -13.690491      -9.052029       1.550223
       0.920000     -13.273435      -8.791626       1.550462
       0.930000     -12.875548      -8.539195       1.550604
       0.940000     -12.505855      -8.294623       1.550670
       0.950000     -12.171768      -8.057803       1.550679
       0.960000     -11.877267      -7.828610       1.550641
       0.970000     -11.621088      -7.606854       1.550575
       0.980000     -11.396475      -7.392237       1.550514
       0.990000     -11.193314      -7.184331       1.550492
       1.000000     -11.001481      -6.982614       1.550528
       1.010000     -10.813392      -6.786539       1.550622
       1.020000     -10.624820      -6.595602       1.550758
       1.030000     -10.434401      -6.409392       1.550916
       1.040000     -10.242642      -6.227598       1.551078
