  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       0.000000            NaN            NaN            NaN
       0.010000 -152388.942824 -269672.075064       2.569267
       0.020000  -38094.720049  -67416.755675       2.569292
       0.030000  -16929.123210  -29962.066896       2.569334
       0.040000   -9521.164281  -16852.925821       2.569392
       0.050000   -6092.337538  -10785.266233       2.569467
       0.060000   -4229.764946   -7489.253614       2.569559
       0.070000   -3106.692376   -5501.861957       2.569668
       0.080000   -2377.775039   -4211.968329       2.569794
       0.090000   -1878.031668   -3327.621500       2.569938
       0.100000   -1520.568129   -2695.053411       2.570099
       0.110000   -1256.085490   -2227.024559       2.570277
       0.120000   -1054.924706   -1871.050230       2.570474
       0.130000    -898.374268   -1594.018492       2.570688
       0.140000    -774.156239   -1374.202285       2.570921
       0.150000    -673.943424   -1196.865781       2.571173
       0.160000    -591.926530   -1051.728842       2.571444
       0.170000    -523.952886    -931.442894       2.571734
       0.180000    -466.990262    -830.642095       2.572044
       0.190000    -418.782747    -745.334378       2.572374
       0.200000    -377.623902    -672.500028       2.572725
       0.210000    -342.203650    -609.820727       2.573098
       0.220000    -311.502717    -555.492765       2.573492
       0.230000    -284.718475    -508.095812       2.573908
       0.240000    -261.211945    -466.499128       2.574347
       0.250000    -240.469333    -429.793503       2.574810
       0.260000    -222.073708    -397.241135       2.575297
       0.270000    -205.683893    -368.238274       2.575809
       0.280000    -191.018524    -342.287019       2.576347
       0.290000    -177.843895    -318.973805       2.576912
       0.300000    -165.964592    -297.952825       2.577503
       0.310000    -155.216201    -278.933131       2.578123
       0.320000    -145.459589    -261.668516       2.578772
       0.330000    -136.576381    -245.949501       2.579451
       0.340000    -128.465348    -231.596951       2.580160
       0.350000    -121.039514    -218.456953       2.580900
       0.360000    -114.223811    -206.396669       2.581671
       0.370000    -107.953177    -195.300963       2.582474
       0.380000    -102.170999    -185.069652       2.583309
       0.390000     -96.827823    -175.615224       2.584175
       0.400000     -91.880303    -166.860972       2.585070
       0.410000     -87.290311    -158.739425       2.585992
       0.420000     -83.024204    -151.191049       2.586938
       0.430000     -79.052205    -144.163151       2.587901
       0.440000     -75.347882    -137.608957       2.588875
       0.450000     -71.887707    -131.486830       2.589848
       0.460000     -68.650680    -125.759611       2.590805
       0.470000     -65.618014    -120.394052       2.591724
       0.480000     -62.772855    -115.360329       2.592578
       0.490000     -60.100053    -110.631632       2.593328
       0.500000     -57.585956    -106.183806       2.593928
       0.510000     -55.218240    -101.995038       2.594315
       0.520000     -52.985752     -98.045593       2.594415
       0.530000     -50.878381     -94.317580       2.594142
       0.540000     -48.886946     -90.794751       2.593401
       0.550000     -47.003091     -87.462319       2.592104
       0.560000     -45.219199     -84.306807       2.590181
       0.570000     -43.528316     -81.315907       2.587608
       0.580000     -41.924083     -78.478367       2.584430
       0.590000     -40.400674     -75.783877       2.580775
       0.600000     -38.952745     -73.222981       2.576853
       0.610000     -37.575386     -70.786991       2.572924
       0.620000     -36.264080     -68.467913       2.569253
       0.630000     -35.014666     -66.258383       2.566060
       0.640000     -33.823306     -64.151608       2.563488
       0.650000     -32.686452     -62.141315       2.561597
       0.660000     -31.600827     -60.221699       2.560371
       0.670000     -30.563394     -58.387388       2.559748
       0.680000     -29.571337     -56.633402       2.559641
       0.690000     -28.622045     -54.955116       2.559956
       0.700000     -27.713091     -53.348237       2.560604
       0.710000     -26.842217     -51.808770       2.561510
       0.720000     -26.007321     -50.332996       2.562611
       0.730000     -25.206446     -48.917449       2.563857
