       0.010000  -94936.870931 -278691.217683       2.593726
       0.020000  -23731.596631  -69671.474283       2.593757
       0.030000  -10545.434687  -30964.114390       2.593808
       0.040000   -5930.277964  -17416.538424       2.593879
       0.050000   -3794.119662  -11145.946114       2.593971
       0.060000   -2633.737324   -7739.698435       2.594084
       0.070000   -1934.063321   -5685.838512       2.594217
       0.080000   -1479.947929   -4352.804421       2.594372
       0.090000   -1168.607856   -3438.880632       2.594547
       0.100000    -945.908077   -2785.156316       2.594744
       0.110000    -781.135370   -2301.474247       2.594962
       0.120000    -655.812155   -1933.594362       2.595203
       0.130000    -558.281167   -1647.297300       2.595465
       0.140000    -480.893255   -1420.129340       2.595750
       0.150000    -418.460577   -1236.861816       2.596057
       0.160000    -367.363946   -1086.870771       2.596388
       0.170000    -325.016248    -962.561856       2.596743
       0.180000    -289.528405    -858.389770       2.597121
       0.190000    -259.494984    -770.228932       2.597524
       0.200000    -233.852876    -694.958632       2.597952
       0.210000    -211.785901    -630.183016       2.598406
       0.220000    -192.659052    -574.038049       2.598885
       0.230000    -175.972293    -525.055897       2.599392
       0.240000    -161.327540    -482.068005       2.599927
       0.250000    -148.404698    -444.134752       2.600489
       0.260000    -136.944022    -410.493662       2.601081
       0.270000    -126.732955    -380.520792       2.601702
       0.280000    -117.596210    -353.701587       2.602354
       0.290000    -109.388187    -329.608653       2.603037
       0.300000    -101.987144    -307.884615       2.603753
       0.310000     -95.290651    -288.228798       2.604501
       0.320000     -89.212027    -270.386757       2.605282
       0.330000     -83.677525    -254.142007       2.606098
       0.340000     -78.624080    -239.309425       2.606948
       0.350000     -73.997505    -225.729947       2.607832
       0.360000     -69.751034    -213.266294       2.608750
       0.370000     -65.844132    -201.799480       2.609701
       0.380000     -62.241529    -191.225968       2.610683
       0.390000     -58.912416    -181.455323       2.611694
       0.400000     -55.829788    -172.408271       2.612729
       0.410000     -52.969892    -164.015084       2.613781
       0.420000     -50.311767    -156.214238       2.614842
       0.430000     -47.836863    -148.951276       2.615899
       0.440000     -45.528713    -142.177861       2.616934
       0.450000     -43.372658    -135.850964       2.617924
       0.460000     -41.355616    -129.932182       2.618838
       0.470000     -39.465882    -124.387154       2.619634
       0.480000     -37.692956    -119.185061       2.620260
       0.490000     -36.027399    -114.298195       2.620650
       0.500000     -34.460708    -109.701593       2.620729
       0.510000     -32.985203    -105.372713       2.620409
       0.520000     -31.593936    -101.291160       2.619603
       0.530000     -30.280608     -97.438445       2.618234
       0.540000     -29.039500     -93.797776       2.616261
       0.550000     -27.865405     -90.353870       2.613697
       0.560000     -26.753578     -87.092801       2.610629
       0.570000     -25.699687     -84.001850       2.607225
       0.580000     -24.699769     -81.069388       2.603716
       0.590000     -23.750196     -78.284759       2.600357
       0.600000     -22.847638     -75.638192       2.597377
       0.610000     -21.989036     -73.120707       2.594943
       0.620000     -21.171577     -70.724045       2.593144
       0.630000     -20.392666     -68.440594       2.591991
       0.640000     -19.649914     -66.263335       2.591442
       0.650000     -18.941110     -64.185784       2.591420
       0.660000     -18.264212     -62.201942       2.591840
       0.670000     -17.617328     -60.306258       2.592614
       0.680000     -16.998705     -58.493585       2.593666
       0.690000     -16.406715     -56.759143       2.594932
       0.700000     -15.839846     -55.098496       2.596359
       0.710000     -15.296691     -53.507516       2.597907
       0.720000     -14.775941     -51.982358       2.599546
       0.730000     -14.276377     -50.519441       2.601252
       0.740000     -13.796859     -49.115423       2.603010
       0.750000     -13.336324     -47.767183       2.604806
       0.760000     -12.893779     -46.471806       2.606633
       0.770000     -12.468294     -45.226563       2.608485
       0.780000     -12.058999     -44.028900       2.610360
       0.790000     -11.665078     -42.876423       2.612254
       0.800000     -11.285767     -41.766885       2.614168
       0.810000     -10.920348     -40.698181       2.616102
       0.820000     -10.568145     -39.668331       2.618056
       0.830000     -10.228525     -38.675472       2.620032
       0.840000      -9.900891     -37.717854       2.622031
       0.850000      -9.584682     -36.793829       2.624056
       0.860000      -9.279368     -35.901843       2.626108
       0.870000      -8.984450     -35.040430       2.628189
       0.880000      -8.699457     -34.208211       2.630302
       0.890000      -8.423945     -33.403878       2.632449
       0.900000      -8.157493     -32.626201       2.634631
       0.910000      -7.899705     -31.874014       2.636850
       0.920000      -7.650205     -31.146214       2.639109
       0.930000      -7.408638     -30.441759       2.641406
       0.940000      -7.174666     -29.759659       2.643743
       0.950000      -6.947971     -29.098979       2.646119
       0.960000      -6.728250     -28.458831       2.648531
       0.970000      -6.515216     -27.838372       2.650975
       0.980000      -6.308596     -27.236803       2.653444
       0.990000      -6.108132     -26.653364       2.655928
       1.000000      -5.913578     -26.087333       2.658411
       1.010000      -5.724700     -25.538026       2.660874
       1.020000      -5.541275     -25.004788       2.663285
       1.030000      -5.363091     -24.486999       2.665606
       1.040000      -5.189948     -23.984067       2.667784
       1.050000      -5.021653     -23.495430       2.669749
       1.060000      -4.858023     -23.020549       2.671413
       1.070000      -4.698883     -22.558914       2.672667
       1.080000      -4.544067     -22.110036       2.673384
       1.090000      -4.393417     -21.673448       2.673421
       1.100000      -4.246780     -21.248706       2.672638
       1.110000      -4.104011     -20.835385       2.670919
       1.120000      -3.964972     -20.433079       2.668206
       1.130000      -3.829531     -20.041399       2.664534
       1.140000      -3.697560     -19.659974       2.660064
       1.150000      -3.568940     -19.288449       2.655081
       1.160000      -3.443553     -18.926484       2.649967
       1.170000      -3.321289     -18.573754       2.645131
       1.180000      -3.202041     -18.229946       2.640938
       1.190000      -3.085708     -17.894762       2.637648
       1.200000      -2.972191     -17.567916       2.635395
       1.210000      -2.861398     -17.249133       2.634192
       1.220000      -2.753237     -16.938150       2.633967
       1.230000      -2.647624     -16.634713       2.634594
       1.240000      -2.544475     -16.338581       2.635932
       1.250000      -2.443710     -16.049521       2.637843
       1.260000      -2.345254     -15.767309       2.640202
