  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       0.000000            NaN            NaN            NaN
       0.010000       0.000154       0.000009       0.000186
       0.020000       0.000308       0.000017       0.000373
       0.030000       0.000462       0.000026       0.000560
       0.040000       0.000616       0.000035       0.000748
       0.050000       0.000770       0.000044       0.000936
       0.060000       0.000925       0.000052       0.001126
       0.070000       0.001079       0.000061       0.001317
       0.080000       0.001233       0.000070       0.001510
       0.090000       0.001387       0.000079       0.001705
       0.100000       0.001542       0.000087       0.001901
       0.110000       0.001696       0.000096       0.002101
       0.120000       0.001851       0.000105       0.002303
       0.130000       0.002005       0.000114       0.002508
       0.140000       0.002160       0.000122       0.002717
       0.150000       0.002315       0.000131       0.002929
       0.160000       0.002470       0.000140       0.003146
       0.170000       0.002625       0.000149       0.003368
       0.180000       0.002780       0.000157       0.003595
       0.190000       0.002935       0.000166       0.003828
       0.200000       0.003091       0.000175       0.004068
       0.210000       0.003246       0.000184       0.004315
       0.220000       0.003402       0.000192       0.004570
       0.230000       0.003558       0.000201       0.004835
       0.240000       0.003714       0.000210       0.005109
       0.250000       0.003870       0.000219       0.005394
       0.260000       0.004026       0.000227       0.005692
       0.270000       0.004183       0.000236       0.006004
       0.280000       0.004340       0.000245       0.006332
       0.290000       0.004496       0.000254       0.006677
       0.300000       0.004654       0.000263       0.007042
       0.310000       0.004811       0.000271       0.007429
       0.320000       0.004969       0.000280       0.007842
       0.330000       0.005126       0.000289       0.008282
       0.340000       0.005284       0.000298       0.008755
       0.350000       0.005443       0.000307       0.009264
       0.360000       0.005601       0.000315       0.009815
       0.370000       0.005760       0.000324       0.010413
       0.380000       0.005919       0.000333       0.011064
       0.390000       0.006078       0.000342       0.011777
       0.400000       0.006238       0.000351       0.012558
       0.410000       0.006398       0.000359       0.013418
       0.420000       0.006558       0.000368       0.014365
       0.430000       0.006719       0.000377       0.015409
       0.440000       0.006880       0.000386       0.016559
       0.450000       0.007041       0.000395       0.017821
       0.460000       0.007202       0.000404       0.019198
       0.470000       0.007364       0.000413       0.020687
       0.480000       0.007526       0.000421       0.022270
       0.490000       0.007689       0.000430       0.023919
       0.500000       0.007852       0.000439       0.025582
       0.510000       0.008015       0.000448       0.027187
       0.520000       0.008178       0.000457       0.028641
       0.530000       0.008342       0.000466       0.029843
       0.540000       0.008507       0.000475       0.030696
       0.550000       0.008672       0.000484       0.031131
       0.560000       0.008837       0.000493       0.031122
       0.570000       0.009003       0.000501       0.030699
       0.580000       0.009169       0.000510       0.029931
       0.590000       0.009335       0.000519       0.028917
       0.600000       0.009502       0.000528       0.027761
       0.610000       0.009669       0.000537       0.026553
       0.620000       0.009837       0.000546       0.025366
       0.630000       0.010006       0.000555       0.024251
       0.640000       0.010175       0.000564       0.023237
       0.650000       0.010344       0.000573       0.022341
       0.660000       0.010514       0.000582       0.021566
       0.670000       0.010684       0.000591       0.020912
       0.680000       0.010855       0.000600       0.020372
       0.690000       0.011026       0.000609       0.019937
       0.700000       0.011198       0.000618       0.019601
       0.710000       0.011371       0.000627       0.019354
       0.720000       0.011544       0.000636       0.019190
       0.730000       0.011717       0.000645       0.019101
       0.740000       0.011892       0.000654       0.019081
       0.750000       0.012066       0.000663       0.019127
       0.760000       0.012242       0.000672       0.019234
       0.770000       0.012418       0.000681       0.019400
       0.780000       0.012594       0.000691       0.019623
       0.790000       0.012772       0.000700       0.019902
       0.800000       0.012949       0.000709       0.020237
       0.810000       0.013128       0.000718       0.020628
       0.820000       0.013307       0.000727       0.021078
       0.830000       0.013487       0.000736       0.021588
       0.840000       0.013667       0.000745       0.022162
       0.850000       0.013849       0.000754       0.022805
       0.860000       0.014031       0.000764       0.023520
       0.870000       0.014213       0.000773       0.024316
       0.880000       0.014397       0.000782       0.025200
       0.890000       0.014581       0.000791       0.026182
       0.900000       0.014765       0.000800       0.027271
       0.910000       0.014951       0.000810       0.028482
       0.920000       0.015137       0.000819       0.029829
       0.930000       0.015325       0.000828       0.031330
       0.940000       0.015513       0.000837       0.033003
       0.950000       0.015701       0.000847       0.034872
       0.960000       0.015891       0.000856       0.036961
       0.970000       0.016081       0.000865       0.039298
       0.980000       0.016273       0.000874       0.041910
       0.990000       0.016465       0.000884       0.044825
       1.000000       0.016658       0.000893       0.048068
       1.010000       0.016852       0.000902       0.051656
       1.020000       0.017046       0.000912       0.055588
       1.030000       0.017242       0.000921       0.059842
       1.040000       0.017439       0.000930       0.064358
       1.050000       0.017636       0.000940       0.069022
       1.060000       0.017835       0.000949       0.073660
       1.070000       0.018034       0.000959       0.078033
       1.080000       0.018235       0.000968       0.081847
       1.090000       0.018436       0.000977       0.084794
       1.100000       0.018639       0.000987       0.086604
       1.110000       0.018842       0.000996       0.087109
       1.120000       0.019047       0.001006       0.086286
       1.130000       0.019252       0.001015       0.084265
       1.140000       0.019459       0.001025       0.081292
       1.150000       0.019667       0.001034       0.077671
       1.160000       0.019875       0.001044       0.073706
       1.170000       0.020085       0.001054       0.069654
       1.180000       0.020297       0.001063       0.065712
       1.190000       0.020509       0.001073       0.062009
       1.200000       0.020722       0.001082       0.058621
       1.210000       0.020937       0.001092       0.055582
       1.220000       0.021153       0.001102       0.052897
       1.230000       0.021370       0.001111       0.050555
       1.240000       0.021588       0.001121       0.048535
       1.250000       0.021807       0.001131       0.046810
       1.260000       0.022028       0.001140       0.045353
       1.270000       0.022250       0.001150       0.044139
       1.280000       0.022474       0.001160       0.043143
       1.290000       0.022698       0.001169       0.042343
       1.300000       0.022924       0.001179       0.041721
       1.310000       0.023152       0.001189       0.041262
       1.320000       0.023381       0.001199       0.040951
       1.330000       0.023611       0.001209       0.040777
       1.340000       0.023842       0.001218       0.040732
       1.350000       0.024075       0.001228       0.040808
       1.360000       0.024310       0.001238       0.041002
       1.370000       0.024546       0.001248       0.041309
       1.380000       0.024784       0.001258       0.041729
       1.390000       0.025023       0.001268       0.042261
       1.400000       0.025263       0.001278       0.042907
       1.410000       0.025506       0.001288       0.043672
       1.420000       0.025749       0.001298       0.044560
       1.430000       0.025995       0.001308       0.045579
       1.440000       0.026242       0.001318       0.046737
       1.450000       0.026491       0.001328       0.048046
       1.460000       0.026741       0.001338       0.049521
       1.470000       0.026993       0.001348       0.051176
       1.480000       0.027247       0.001358       0.053032
       1.490000       0.027503       0.001368       0.055110
       1.500000       0.027760       0.001378       0.057435
       1.510000       0.028020       0.001388       0.060034
       1.520000       0.028281       0.001399       0.062936
       1.530000       0.028544       0.001409       0.066171
       1.540000       0.028809       0.001419       0.069764
       1.550000       0.029076       0.001429       0.073737
       1.560000       0.029345       0.001439       0.078096
       1.570000       0.029616       0.001450       0.082826
       1.580000       0.029889       0.001460       0.087876
       1.590000       0.030164       0.001470       0.093148
       1.600000       0.030441       0.001481       0.098480
       1.610000       0.030720       0.001491       0.103647
       1.620000       0.031001       0.001502       0.108363
       1.630000       0.031285       0.001512       0.112314
       1.640000       0.031570       0.001522       0.115211
       1.650000       0.031858       0.001533       0.116854
       1.660000       0.032149       0.001543       0.117182
       1.670000       0.032441       0.001554       0.116289
       1.680000       0.032736       0.001564       0.114406
       1.690000       0.033033       0.001575       0.111837
       1.700000       0.033333       0.001586       0.108903
       1.710000       0.033635       0.001596       0.105892
       1.720000       0.033940       0.001607       0.103028
       1.730000       0.034248       0.001618       0.100471
       1.740000       0.034557       0.001628       0.098322
       1.750000       0.034870       0.001639       0.096637
       1.760000       0.035185       0.001650       0.095441
       1.770000       0.035503       0.001660       0.094738
       1.780000       0.035824       0.001671       0.094525
       1.790000       0.036147       0.001682       0.094793
       1.800000       0.036473       0.001693       0.095533
       1.810000       0.036803       0.001704       0.096740
       1.820000       0.037135       0.001715       0.098416
       1.830000       0.037470       0.001726       0.100565
       1.840000       0.037808       0.001737       0.103201
       1.850000       0.038149       0.001748       0.106343
       1.860000       0.038494       0.001759       0.110019
       1.870000       0.038841       0.001770       0.114262
       1.880000       0.039192       0.001781       0.119111
       1.890000       0.039546       0.001792       0.124611
       1.900000       0.039904       0.001803       0.130808
       1.910000       0.040264       0.001814       0.137745
       1.920000       0.040629       0.001825       0.145459
       1.930000       0.040997       0.001837       0.153966
       1.940000       0.041368       0.001848       0.163257
       1.950000       0.041743       0.001859       0.173282
       1.960000       0.042122       0.001871       0.183945
       1.970000       0.042505       0.001882       0.195104
       1.980000       0.042891       0.001893       0.206590
       1.990000       0.043281       0.001905       0.218237
       2.000000       0.043676       0.001916       0.229923
       2.010000       0.044074       0.001928       0.241611
       2.020000       0.044476       0.001939       0.253346
       2.030000       0.044883       0.001951       0.265229
       2.040000       0.045294       0.001962       0.277350
       2.050000       0.045709       0.001974       0.289725
       2.060000       0.046129       0.001986       0.302255
       2.070000       0.046553       0.001997       0.314730
       2.080000       0.046982       0.002009       0.326890
       2.090000       0.047416       0.002021       0.338501
       2.100000       0.047854       0.002033       0.349429
