  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       0.000000            NaN            NaN            NaN
       0.010000       0.010719       0.011893       0.002420
       0.020000       0.021520       0.023924       0.004862
       0.030000       0.032480       0.036219       0.007351
       0.040000       0.043655       0.048891       0.009911
       0.050000       0.055077       0.062020       0.012567
       0.060000       0.066727       0.075639       0.015346
       0.070000       0.078520       0.089710       0.018279
       0.080000       0.090281       0.104097       0.021398
       0.090000       0.101728       0.118547       0.024739
       0.100000       0.112478       0.132680       0.028342
       0.110000       0.122075       0.146002       0.032248
       0.120000       0.130065       0.157956       0.036505
       0.130000       0.136085       0.168003       0.041161
       0.140000       0.139962       0.175720       0.046266
       0.150000       0.141762       0.180876       0.051868
       0.160000       0.141774       0.183482       0.058006
       0.170000       0.140444       0.183788       0.064704
       0.180000       0.138267       0.182246       0.071958
       0.190000       0.135710       0.179443       0.079725
       0.200000       0.133153       0.176017       0.087906
       0.210000       0.130870       0.172582       0.096332
       0.220000       0.129038       0.169663       0.104766
       0.230000       0.127758       0.167663       0.112915
       0.240000       0.127070       0.166851       0.120463
       0.250000       0.126979       0.167360       0.127124
       0.260000       0.127466       0.169192       0.132693
       0.270000       0.128501       0.172217       0.137075
       0.280000       0.130049       0.176162       0.140279
       0.290000       0.132075       0.180611       0.142387
       0.300000       0.134545       0.185008       0.143507
       0.310000       0.137431       0.188702       0.143746
       0.320000       0.140708       0.191030       0.143200
       0.330000       0.144355       0.191435       0.141969
       0.340000       0.148355       0.189588       0.140160
       0.350000       0.152698       0.185463       0.137902
       0.360000       0.157373       0.179331       0.135330
       0.370000       0.162377       0.171681       0.132577
       0.380000       0.167708       0.163092       0.129746
       0.390000       0.173367       0.154124       0.126893
       0.400000       0.179358       0.145240       0.124026
       0.410000       0.185688       0.136777       0.121111
       0.420000       0.192366       0.128949       0.118107
       0.430000       0.199404       0.121869       0.115001
       0.440000       0.206817       0.115578       0.111839
       0.450000       0.214622       0.110066       0.108723
       0.460000       0.222839       0.105294       0.105798
       0.470000       0.231489       0.101210       0.103217
       0.480000       0.240598       0.097752       0.101109
       0.490000       0.250195       0.094860       0.099558
       0.500000       0.260311       0.092477       0.098593
       0.510000       0.270981       0.090551       0.098190
       0.520000       0.282246       0.089034       0.098274
       0.530000       0.294147       0.087887       0.098737
       0.540000       0.306735       0.087072       0.099447
       0.550000       0.320063       0.086559       0.100263
       0.560000       0.334190       0.086322       0.101053
       0.570000       0.349184       0.086339       0.101704
       0.580000       0.365118       0.086591       0.102133
       0.590000       0.382075       0.087062       0.102294
       0.600000       0.400147       0.087741       0.102179
       0.610000       0.419438       0.088618       0.101823
       0.620000       0.440062       0.089683       0.101290
       0.630000       0.462147       0.090933       0.100658
       0.640000       0.485838       0.092364       0.099998
       0.650000       0.511293       0.093973       0.099346
       0.660000       0.538692       0.095760       0.098699
       0.670000       0.568229       0.097728       0.098011
       0.680000       0.600120       0.099879       0.097219
       0.690000       0.634599       0.102218       0.096271
       0.700000       0.671914       0.104752       0.095147
       0.710000       0.712323       0.107489       0.093865
       0.720000       0.756086       0.110440       0.092469
       0.730000       0.803454       0.113616       0.091012
       0.740000       0.854662       0.117032       0.089540
       0.750000       0.909918       0.120706       0.088089
       0.760000       0.969418       0.124656       0.086697
       0.770000       1.033370       0.128907       0.085404
       0.780000       1.102065       0.133484       0.084264
       0.790000       1.175954       0.138417       0.083330
       0.800000       1.255737       0.143742       0.082643
       0.810000       1.342427       0.149498       0.082216
       0.820000       1.437354       0.155731       0.082022
       0.830000       1.542136       0.162492       0.082000
       0.840000       1.658609       0.169841       0.082061
       0.850000       1.788768       0.177844       0.082107
       0.860000       1.934717       0.186574       0.082050
       0.870000       2.098617       0.196113       0.081828
       0.880000       2.282633       0.206548       0.081419
       0.890000       2.488823       0.217968       0.080835
       0.900000       2.718966       0.230462       0.080117
       0.910000       2.974267       0.244108       0.079317
       0.920000       3.254948       0.258961       0.078483
       0.930000       3.559705       0.275039       0.077641
       0.940000       3.885091       0.292297       0.076788
       0.950000       4.224971       0.310612       0.075896
       0.960000       4.570273       0.329762       0.074928
       0.970000       4.909321       0.349426       0.073858
       0.980000       5.228937       0.369203       0.072689
       0.990000       5.516224       0.388656       0.071462
       1.000000       5.760551       0.407373       0.070243
       1.010000       5.955110       0.425034       0.069107
       1.020000       6.097567       0.441455       0.068114
       1.030000       6.189785       0.456628       0.067296
       1.040000       6.236891       0.470722       0.066652
       1.050000       6.245920       0.484071       0.066150
       1.060000       6.224229       0.497123       0.065739
       1.070000       6.177977       0.510374       0.065368
       1.080000       6.111174       0.524306       0.064999
       1.090000       6.025695       0.539358       0.064620
       1.100000       5.922192       0.555932       0.064249
       1.110000       5.801242       0.574413       0.063925
       1.120000       5.663931       0.595178       0.063695
       1.130000       5.511510       0.618575       0.063595
       1.140000       5.344478       0.644863       0.063637
       1.150000       5.161931       0.674138       0.063805
       1.160000       4.961856       0.706272       0.064059
       1.170000       4.742403       0.740854       0.064342
       1.180000       4.503521       0.777174       0.064600
       1.190000       4.248041       0.814247       0.064800
       1.200000       3.981645       0.850918       0.064939
       1.210000       3.711789       0.886058       0.065047
       1.220000       3.446196       0.918843       0.065178
       1.230000       3.191550       0.949027       0.065396
       1.240000       2.952747       0.977089       0.065750
       1.250000       2.732725       1.004163       0.066264
       1.260000       2.532667       1.031764       0.066919
       1.270000       2.352401       1.061402       0.067662
       1.280000       2.190831       1.094206       0.068408
       1.290000       2.046353       1.130643       0.069060
       1.300000       1.917197       1.170388       0.069535
       1.310000       1.801691       1.212344       0.069784
       1.320000       1.698432       1.254835       0.069814
       1.330000       1.606327       1.295957       0.069680
