  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       0.000000            NaN            NaN            NaN
       0.010000 -213744.314518  -88654.900332       1.986289
       0.020000  -53420.863494  -22160.724709       1.986376
       0.030000  -23731.310282   -9846.988284       1.986517
       0.040000  -13339.936723   -5537.180301       1.986709
       0.050000   -8530.182229   -3542.354634       1.986945
       0.060000   -5917.440817   -2458.745356       1.987216
       0.070000   -4342.003104   -1805.362853       1.987511
       0.080000   -3319.444885   -1381.292184       1.987812
       0.090000   -2618.342459   -1090.550427       1.988097
       0.100000   -2116.806913    -882.584251       1.988338
       0.110000   -1745.685065    -728.712486       1.988498
       0.120000   -1463.373080    -611.680072       1.988535
       0.130000   -1243.623495    -520.601013       1.988398
       0.140000   -1069.213378    -448.332242       1.988034
       0.150000    -928.461604    -390.029155       1.987393
       0.160000    -813.218995    -342.312019       1.986437
       0.170000    -717.660199    -302.764887       1.985151
       0.180000    -637.531607    -269.623668       1.983554
       0.190000    -569.668684    -241.575914       1.981706
       0.200000    -511.677821    -217.628851       1.979696
       0.210000    -461.721636    -197.020302       1.977630
       0.220000    -418.371003    -179.157270       1.975610
       0.230000    -380.501167    -163.572801       1.973709
       0.240000    -347.217577    -149.895150       1.971968
       0.250000    -317.802162    -137.825399       1.970396
       0.260000    -291.673916    -127.120985       1.968985
       0.270000    -268.359665    -117.583417       1.967713
       0.280000    -247.472208    -109.049000       1.966561
       0.290000    -228.693860    -101.381768       1.965505
       0.300000    -211.763995     -94.468032       1.964515
       0.310000    -196.469549     -88.212137       1.963556
       0.320000    -182.637649     -82.533137       1.962591
       0.330000    -170.129633     -77.362161       1.961590
       0.340000    -158.835751     -72.640315       1.960541
       0.350000    -148.669863     -68.316997       1.959455
       0.360000    -139.563488     -64.348530       1.958364
       0.370000    -131.458879     -60.697063       1.957302
       0.380000    -124.301258     -57.329654       1.956292
       0.390000    -118.031022     -54.217533       1.955326
       0.400000    -112.577290     -51.335477       1.954360
       0.410000    -107.854365     -48.661303       1.953314
       0.420000    -103.762389     -46.175435       1.952084
       0.430000    -100.192602     -43.860547       1.950567
       0.440000     -97.036184     -41.701258       1.948681
       0.450000     -94.194208     -39.683878       1.946390
       0.460000     -91.585535     -37.796185       1.943718
       0.470000     -89.150104     -36.027247       1.940751
       0.480000     -86.846787     -34.367255       1.937626
       0.490000     -84.647158     -32.807391       1.934499
       0.500000     -82.528187     -31.339710       1.931523
       0.510000     -80.467094     -29.957036       1.928826
       0.520000     -78.440230     -28.652877       1.926502
       0.530000     -76.425700     -27.421348       1.924604
       0.540000     -74.407705     -26.257101       1.923145
       0.550000     -72.380101     -25.155270       1.922105
       0.560000     -70.347333     -24.111419       1.921433
       0.570000     -68.322254     -23.121497       1.921061
       0.580000     -66.321645     -22.181798       1.920919
       0.590000     -64.360969     -21.288927       1.920946
       0.600000     -62.450037     -20.439769       1.921100
       0.610000     -60.590869     -19.631460       1.921365
       0.620000     -58.778306     -18.861366       1.921741
       0.630000     -57.002911     -18.127059       1.922240
       0.640000     -55.254776     -17.426297       1.922871
       0.650000     -53.526652     -16.757010       1.923638
       0.660000     -51.815415     -16.117281       1.924534
       0.670000     -50.121885     -15.505335       1.925546
       0.680000     -48.449625     -14.919526       1.926655
       0.690000     -46.803496     -14.358325       1.927837
       0.700000     -45.188469     -13.820311       1.929064
       0.710000     -43.608862     -13.304161       1.930298
       0.720000     -42.067988     -12.808643       1.931489
       0.730000     -40.568083     -12.332609       1.932579
       0.740000     -39.110409     -11.874987       1.933495
       0.750000     -37.695423     -11.434779       1.934163
       0.760000     -36.322983     -11.011052       1.934504
       0.770000     -34.992536     -10.602935       1.934455
       0.780000     -33.703299     -10.209617       1.933971
       0.790000     -32.454412      -9.830343       1.933048
       0.800000     -31.245089      -9.464414       1.931722
       0.810000     -30.074745      -9.111184       1.930073
       0.820000     -28.943140      -8.770060       1.928219
       0.830000     -27.850513      -8.440505       1.926288
       0.840000     -26.797737      -8.122040       1.924410
       0.850000     -25.786493      -7.814246       1.922692
       0.860000     -24.819430      -7.516769       1.921216
       0.870000     -23.900293      -7.229320       1.920038
       0.880000     -23.033929      -6.951678       1.919190
       0.890000     -22.226075      -6.683678       1.918683
       0.900000     -21.482828      -6.425199       1.918510
       0.910000     -20.809725      -6.176131       1.918650
       0.920000     -20.210528      -5.936334       1.919068
       0.930000     -19.685954      -5.705582       1.919723
       0.940000     -19.232786      -5.483521       1.920568
       0.950000     -18.843782      -5.269641       1.921552
       0.960000     -18.508564      -5.063280       1.922622
       0.970000     -18.215267      -4.863671       1.923720
       0.980000     -17.952375      -4.670011       1.924789
       0.990000     -17.710142      -4.481526       1.925771
       1.000000     -17.481257      -4.297530       1.926619
