  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       0.000000            NaN            NaN            NaN
       0.010000 -220283.797078 -179584.847110       4.294367
       0.020000  -55006.867043  -44883.039099       3.012029
       0.030000  -24414.745891  -19941.720636       2.666911
       0.040000  -13717.358355  -11214.383942       2.516441
       0.050000   -8771.445653   -7176.004963       2.425476
       0.060000   -6087.464807   -4982.866566       2.354861
       0.070000   -4470.296699   -3660.714436       2.290251
       0.080000   -3421.116494   -2802.673348       2.226179
       0.090000   -2701.853375   -2214.414789       2.161292
       0.100000   -2187.248111   -1793.614134       2.096446
       0.110000   -1806.307688   -1482.232573       2.033566
       0.120000   -1516.361166   -1245.360986       1.974802
       0.130000   -1290.509310   -1060.980026       1.921920
       0.140000   -1111.112409    -914.643599       1.876020
       0.150000    -966.211373    -796.555216       1.837524
       0.160000    -847.464294    -699.881125       1.806347
       0.170000    -748.907482    -619.736542       1.782095
       0.180000    -666.185205    -552.554668       1.764210
       0.190000    -596.055996    -495.681792       1.752048
       0.200000    -536.067495    -447.110440       1.744909
       0.210000    -484.336954    -405.299277       1.742058
       0.220000    -439.399762    -369.048970       1.742755
       0.230000    -400.102909    -337.414987       1.746286
       0.240000    -365.528798    -309.645276       1.751994
       0.250000    -334.939999    -285.135042       1.759303
       0.260000    -307.738673    -263.393448       1.767726
       0.270000    -283.436420    -244.018781       1.776866
       0.280000    -261.631640    -226.679706       1.786407
       0.290000    -241.992353    -211.100942       1.796106
       0.300000    -224.243096    -197.052225       1.805780
       0.310000    -208.154881    -184.339695       1.815296
       0.320000    -193.537560    -172.799151       1.824556
       0.330000    -180.234098    -162.290726       1.833487
       0.340000    -168.116313    -152.694678       1.842029
       0.350000    -157.081636    -143.908034       1.850126
       0.360000    -147.050298    -135.841910       1.857716
       0.370000    -137.962311    -128.419305       1.864732
       0.380000    -129.773580    -121.573290       1.871102
       0.390000    -122.450712    -115.245484       1.876748
       0.400000    -115.964419    -109.384767       1.881589
       0.410000    -110.282051    -103.946217       1.885539
       0.420000    -105.360372     -98.890214       1.888506
       0.430000    -101.140052     -94.181691       1.890399
       0.440000     -97.543167     -89.789515       1.891148
       0.450000     -94.474547     -85.685961       1.890728
       0.460000     -91.827242     -81.846275       1.889197
       0.470000     -89.491725     -78.248294       1.886709
       0.480000     -87.367406     -74.872131       1.883503
       0.490000     -85.373796     -71.699897       1.879860
       0.500000     -83.457915     -68.715468       1.876038
       0.510000     -81.595228     -65.904276       1.872224
       0.520000     -79.783478     -63.253139       1.868514
       0.530000     -78.031446     -60.750100       1.864942
       0.540000     -76.346566     -58.384296       1.861525
       0.550000     -74.725724     -56.145839       1.858313
       0.560000     -73.152197     -54.025716       1.855418
       0.570000     -71.599210     -52.015691       1.852996
       0.580000     -70.037921     -50.108235       1.851217
       0.590000     -68.446098     -48.296446       1.850209
       0.600000     -66.814069     -46.573993       1.850035
       0.610000     -65.146222     -44.935059       1.850679
       0.620000     -63.458401     -43.374288       1.852060
       0.630000     -61.772786     -41.886747       1.854057
       0.640000     -60.112010     -40.467885       1.856531
       0.650000     -58.493921     -39.113495       1.859348
       0.660000     -56.927986     -37.819686       1.862388
       0.670000     -55.414065     -36.582856       1.865553
       0.680000     -53.943834     -35.399661       1.868776
       0.690000     -52.504373     -34.267002       1.872016
       0.700000     -51.082540     -33.181993       1.875258
       0.710000     -49.668517     -32.141954       1.878507
       0.720000     -48.257509     -31.144384       1.881777
       0.730000     -46.849560     -30.186954       1.885083
       0.740000     -45.448209     -29.267491       1.888432
       0.750000     -44.058821     -28.383962       1.891824
       0.760000     -42.687184     -27.534468       1.895247
       0.770000     -41.338579     -26.717230       1.898681
       0.780000     -40.017310     -25.930582       1.902099
       0.790000     -38.726559     -25.172961       1.905468
       0.800000     -37.468444     -24.442902       1.908750
       0.810000     -36.244168     -23.739025       1.911899
       0.820000     -35.054204     -23.060037       1.914863
       0.830000     -33.898464     -22.404719       1.917578
       0.840000     -32.776453     -21.771924       1.919973
       0.850000     -31.687390     -21.160571       1.921969
       0.860000     -30.630300     -20.569644       1.923484
       0.870000     -29.604081     -19.998184       1.924445
       0.880000     -28.607548     -19.445287       1.924797
       0.890000     -27.639471     -18.910104       1.924521
       0.900000     -26.698623     -18.391836       1.923643
       0.910000     -25.783843     -17.889733       1.922243
       0.920000     -24.894135     -17.403095       1.920453
       0.930000     -24.028794     -16.931273       1.918442
       0.940000     -23.187550     -16.473665       1.916398
       0.950000     -22.370712     -16.029727       1.914491
       0.960000     -21.579302     -15.598971       1.912853
       0.970000     -20.815183     -15.180969       1.911551
       0.980000     -20.081170     -14.775362       1.910588
       0.990000     -19.381098     -14.381861       1.909914
       1.000000     -18.719804     -14.000249       1.909450
       1.010000     -18.102942     -13.630370       1.909117
       1.020000     -17.536539     -13.272118       1.908848
       1.030000     -17.026221     -12.925394       1.908597
       1.040000     -16.576145     -12.590062       1.908337
       1.050000     -16.187813     -12.265885       1.908047
       1.060000     -15.859142     -11.952468       1.907710
       1.070000     -15.584198     -11.649229       1.907316
       1.080000     -15.353832     -11.355403       1.906870
       1.090000     -15.157122     -11.070100       1.906404
       1.100000     -14.983155     -10.792397       1.905982
       1.110000     -14.822554     -10.521434       1.905689
       1.120000     -14.668303     -10.256490       1.905618
       1.130000     -14.515774      -9.997017       1.905842
       1.140000     -14.362257      -9.742635       1.906398
       1.150000     -14.206476      -9.493123       1.907282
       1.160000     -14.048386      -9.248403       1.908447
       1.170000     -13.889172      -9.008550       1.909819
       1.180000     -13.731074      -8.773795       1.911303
       1.190000     -13.576864      -8.544518       1.912801
       1.200000     -13.429157      -8.321228       1.914218
       1.210000     -13.290013      -8.104527       1.915477
       1.220000     -13.161088      -7.895060       1.916526
       1.230000     -13.044169      -7.693430       1.917346
       1.240000     -12.941601      -7.500083       1.917958
       1.250000     -12.856263      -7.315146       1.918410
       1.260000     -12.791174      -7.138267       1.918770
       1.270000     -12.749152      -6.968554       1.919104
       1.280000     -12.732840      -6.804664       1.919467
       1.290000     -12.745009      -6.645078       1.919899
       1.300000     -12.788783      -6.488477       1.920425
       1.310000     -12.867524      -6.334086       1.921070
       1.320000     -12.984404      -6.181847       1.921856
       1.330000     -13.141897      -6.032381       1.922807
       1.340000     -13.341258      -5.886759       1.923934
       1.350000     -13.581892      -5.746154       1.925230
       1.360000     -13.860514      -5.611440       1.926662
       1.370000     -14.170195      -5.482837       1.928177
       1.380000     -14.499652      -5.359688       1.929699
       1.390000     -14.833197      -5.240491       1.931143
       1.400000     -15.151716      -5.123197       1.932423
       1.410000     -15.434781      -5.005724       1.933463
       1.420000     -15.663544      -4.886489       1.934210
       1.430000     -15.823635      -4.764767       1.934639
       1.440000     -15.907130      -4.640789       1.934762
       1.450000     -15.913024      -4.515599       1.934618
       1.460000     -15.846249      -4.390762       1.934259
       1.470000     -15.715807      -4.268013       1.933729
       1.480000     -15.532728      -4.148906       1.933052
       1.490000     -15.308359      -4.034494       1.932228
       1.500000     -15.053220      -3.925119       1.931249
       1.510000     -14.776402      -3.820358       1.930117
       1.520000     -14.485373      -3.719211       1.928876
       1.530000     -14.186040      -3.620492       1.927613
       1.540000     -13.882934      -3.523309       1.926459
       1.550000     -13.579444      -3.427441       1.925558
       1.560000     -13.278043      -3.333480       1.925041
       1.570000     -12.980491      -3.242682       1.924998
       1.580000     -12.688005      -3.156600       1.925467
       1.590000     -12.401388      -3.076587       1.926435
       1.600000     -12.121145      -3.003303       1.927850
       1.610000     -11.847555      -2.936381       1.929639
       1.620000     -11.580742      -2.874375       1.931714
       1.630000     -11.320722      -2.815053       1.933989
       1.640000     -11.067441      -2.755945       1.936375
       1.650000     -10.820805      -2.694918       1.938787
       1.660000     -10.580706      -2.630554       1.941142
       1.670000     -10.347040      -2.562227       1.943356
       1.680000     -10.119720      -2.489990       1.945349
       1.690000      -9.898681      -2.414416       1.947042
       1.700000      -9.683885      -2.336514       1.948368
       1.710000      -9.475307      -2.257716       1.949281
       1.720000      -9.272916      -2.179851       1.949761
       1.730000      -9.076649      -2.105016       1.949824
       1.740000      -8.886375      -2.035302       1.949520
       1.750000      -8.701883      -1.972436       1.948930
       1.760000      -8.522876      -1.917404       1.948152
       1.770000      -8.349006      -1.870187       1.947299
       1.780000      -8.179919      -1.829711       1.946488
       1.790000      -8.015310      -1.794060       1.945841
       1.800000      -7.854966      -1.760918       1.945473
       1.810000      -7.698775      -1.728112       1.945474
       1.820000      -7.546716      -1.694083       1.945900
       1.830000      -7.398813      -1.658120       1.946761
       1.840000      -7.255080      -1.620299       1.948022
       1.850000      -7.115488      -1.581207       1.949611
       1.860000      -6.979973      -1.541596       1.951431
       1.870000      -6.848481      -1.502089       1.953371
       1.880000      -6.721025      -1.463029       1.955312
       1.890000      -6.597694      -1.424463       1.957132
