  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       0.000000            NaN            NaN            NaN
       0.010000       0.296015       0.025140       0.740796
       0.020000       0.593831       0.050600       0.675526
       0.030000       0.895279       0.076703       0.719772
       0.040000       1.202240       0.103787       0.744979
       0.050000       1.516675       0.132203       0.737843
       0.060000       1.840658       0.162322       0.705667
       0.070000       2.176404       0.194534       0.658659
       0.080000       2.526310       0.229248       0.605153
       0.090000       2.892988       0.266879       0.550809
       0.100000       3.279317       0.307830       0.499049
       0.110000       3.688488       0.352457       0.451714
       0.120000       4.124066       0.401011       0.409627
       0.130000       4.590054       0.453557       0.372991
       0.140000       5.090967       0.509852       0.341655
       0.150000       5.631913       0.569196       0.315277
       0.160000       6.218686       0.630273       0.293421
       0.170000       6.857860       0.691025       0.275600
       0.180000       7.556890       0.748632       0.261304
       0.190000       8.324203       0.799699       0.250003
       0.200000       9.169269       0.840709       0.241160
       0.210000      10.102639       0.868697       0.234243
       0.220000      11.135908       0.881943       0.228758
       0.230000      12.281564       0.880417       0.224288
       0.240000      13.552682       0.865740       0.220523
       0.250000      14.962377       0.840687       0.217292
       0.260000      16.522971       0.808443       0.214554
       0.270000      18.244768       0.771931       0.212375
       0.280000      20.134366       0.733404       0.210882
       0.290000      22.192348       0.694367       0.210199
       0.300000      24.410244       0.655722       0.210386
       0.310000      26.766728       0.618041       0.211384
       0.320000      29.223482       0.581786       0.212967
       0.330000      31.721877       0.547440       0.214739
       0.340000      34.182347       0.515514       0.216151
       0.350000      36.508347       0.486484       0.216572
       0.360000      38.595720       0.460718       0.215398
       0.370000      40.346430       0.438421       0.212170
       0.380000      41.683963       0.419615       0.206683
       0.390000      42.566883       0.404139       0.199030
       0.400000      42.996909       0.391660       0.189572
       0.410000      43.018170       0.381692       0.178843
       0.420000      42.706121       0.373632       0.167433
       0.430000      42.148412       0.366810       0.155889
       0.440000      41.423968       0.360569       0.144647
       0.450000      40.587914       0.354347       0.134015
       0.460000      39.667484       0.347744       0.124178
       0.470000      38.669335       0.340533       0.115227
       0.480000      37.593834       0.332628       0.107183
       0.490000      36.449089       0.324017       0.100023
       0.500000      35.258170       0.314708       0.093701
       0.510000      34.056828       0.304716       0.088158
       0.520000      32.883978       0.294091       0.083335
       0.530000      31.770116       0.282950       0.079173
       0.540000      30.728766       0.271497       0.075617
       0.550000      29.753953       0.260003       0.072615
       0.560000      28.824256       0.248764       0.070113
       0.570000      27.911872       0.238052       0.068057
       0.580000      26.993312       0.228084       0.066383
       0.590000      26.057543       0.219003       0.065027
       0.600000      25.108257       0.210885       0.063921
       0.610000      24.159655       0.203748       0.063007
       0.620000      23.228154       0.197573       0.062242
       0.630000      22.323921       0.192312       0.061612
       0.640000      21.445621       0.187906       0.061127
       0.650000      20.580092       0.184284       0.060822
       0.660000      19.706815       0.181377       0.060743
       0.670000      18.805395       0.179116       0.060942
       0.680000      17.863169       0.177439       0.061459
       0.690000      16.879905       0.176288       0.062323
       0.700000      15.867949       0.175617       0.063546
       0.710000      14.848369       0.175391       0.065118
       0.720000      13.845309       0.175588       0.067010
       0.730000      12.880938       0.176193       0.069164
       0.740000      11.972365       0.177202       0.071496
       0.750000      11.130642       0.178614       0.073888
       0.760000      10.361245       0.180432       0.076193
       0.770000       9.665291       0.182663       0.078244
       0.780000       9.040892       0.185314       0.079875
       0.790000       8.484354       0.188396       0.080957
       0.800000       7.991085       0.191924       0.081422
       0.810000       7.556226       0.195916       0.081275
       0.820000       7.175046       0.200394       0.080583
       0.830000       6.843184       0.205388       0.079445
       0.840000       6.556764       0.210932       0.077962
       0.850000       6.312458       0.217066       0.076213
       0.860000       6.107491       0.223840       0.074257
       0.870000       5.939637       0.231310       0.072142
       0.880000       5.807183       0.239543       0.069914
       0.890000       5.708905       0.248614       0.067624
       0.900000       5.644020       0.258606       0.065323
       0.910000       5.612150       0.269615       0.063053
       0.920000       5.613268       0.281741       0.060838
       0.930000       5.647633       0.295091       0.058692
       0.940000       5.715689       0.309770       0.056623
