  # energy grid [eV]     epsr_x  epsr_y  epsr_z
       0.000000            NaN            NaN            NaN
       0.010000 -116915.130759  -60541.459491       5.914190
       0.020000  -29225.778882  -15132.827543       5.028384
       0.030000  -12987.009533   -6723.821321       4.136116
       0.040000   -7303.439690   -3780.668783       3.441778
       0.050000   -4672.758164   -2418.409211       2.950594
       0.060000   -3243.745311   -1678.415935       2.612775
       0.070000   -2382.094935   -1232.222889       2.380444
       0.080000   -1822.849982    -942.625984       2.218574
       0.090000   -1439.432746    -744.078832       2.103364
       0.100000   -1165.175898    -602.058743       2.018978
       0.110000    -962.256079    -496.979451       1.955037
       0.120000    -807.918134    -417.057534       1.904957
       0.130000    -687.806130    -354.858985       1.864832
       0.140000    -592.500128    -305.505828       1.832590
       0.150000    -515.611295    -265.689700       1.807279
       0.160000    -452.682596    -233.102589       1.788470
       0.170000    -400.527997    -206.094655       1.775821
       0.180000    -356.821092    -183.461202       1.768847
       0.190000    -319.831088    -164.305962       1.766863
       0.200000    -288.248759    -147.950973       1.769031
       0.210000    -261.068978    -133.875741       1.774452
       0.220000    -237.509728    -121.675311       1.782243
       0.230000    -216.955210    -111.030798       1.791586
       0.240000    -198.915179    -101.688335       1.801756
       0.250000    -182.995434     -93.443789       1.812121
       0.260000    -168.876091     -86.131511       1.822144
       0.270000    -156.295386     -79.615947       1.831380
       0.280000    -145.037442     -73.785309       1.839490
       0.290000    -134.922950     -68.546741       1.846243
       0.300000    -125.801976     -63.822599       1.851523
       0.310000    -117.548373     -59.547558       1.855316
       0.320000    -110.055388     -55.666334       1.857676
       0.330000    -103.232192     -52.131890       1.858678
       0.340000     -97.001114     -48.904004       1.858377
       0.350000     -91.295417     -45.948112       1.856795
       0.360000     -86.057500     -43.234385       1.853957
       0.370000     -81.237438     -40.736965       1.849944
       0.380000     -76.791789     -38.433355       1.844965
       0.390000     -72.682605     -36.303900       1.839390
       0.400000     -68.876622     -34.331372       1.833725
       0.410000     -65.344582     -32.500620       1.828530
       0.420000     -62.060669     -30.798273       1.824317
       0.430000     -59.002031     -29.212499       1.821458
       0.440000     -56.148384     -27.732797       1.820144
       0.450000     -53.481667     -26.349824       1.820386
       0.460000     -50.985760     -25.055243       1.822052
       0.470000     -48.646231     -23.841603       1.824909
       0.480000     -46.450129     -22.702222       1.828674
       0.490000     -44.385803     -21.631100       1.833049
       0.500000     -42.442747     -20.622830       1.837745
       0.510000     -40.611473     -19.672531       1.842505
       0.520000     -38.883394     -18.775780       1.847112
       0.530000     -37.250732     -17.928556       1.851410
       0.540000     -35.706426     -17.127200       1.855304
       0.550000     -34.244059     -16.368381       1.858767
       0.560000     -32.857787     -15.649076       1.861826
       0.570000     -31.542281     -14.966551       1.864541
       0.580000     -30.292674     -14.318354       1.866974
       0.590000     -29.104516     -13.702289       1.869161
       0.600000     -27.973734     -13.116396       1.871104
       0.610000     -26.896598     -12.558911       1.872781
       0.620000     -25.869690     -12.028234       1.874163
       0.630000     -24.889874     -11.522875       1.875232
       0.640000     -23.954272     -11.041408       1.876003
       0.650000     -23.060237     -10.582432       1.876526
       0.660000     -22.205324     -10.144539       1.876890
       0.670000     -21.387279      -9.726319       1.877214
       0.680000     -20.604024      -9.326387       1.877636
       0.690000     -19.853654      -8.943446       1.878289
       0.700000     -19.134432      -8.576357       1.879280
       0.710000     -18.444771      -8.224200       1.880663
       0.720000     -17.783191      -7.886288       1.882430
       0.730000     -17.148254      -7.562131       1.884512
       0.740000     -16.538479      -7.251355       1.886788
       0.750000     -15.952275      -6.953600       1.889112
       0.760000     -15.387919      -6.668432       1.891331
       0.770000     -14.843608      -6.395298       1.893312
       0.780000     -14.317564      -6.133541       1.894964
       0.790000     -13.808163      -5.882465       1.896254
       0.800000     -13.314034      -5.641419       1.897211
       0.810000     -12.834078      -5.409857       1.897915
       0.820000     -12.367430      -5.187361       1.898465
       0.830000     -11.913376      -4.973613       1.898938
       0.840000     -11.471276      -4.768354       1.899368
       0.850000     -11.040502      -4.571347       1.899722
       0.860000     -10.620424      -4.382392       1.899917
       0.870000     -10.210423      -4.201354       1.899845
       0.880000      -9.809918      -4.028185       1.899397
       0.890000      -9.418395      -3.862869       1.898498
       0.900000      -9.035421      -3.705304       1.897117
       0.910000      -8.660646      -3.555161       1.895274
       0.920000      -8.293805      -3.411813       1.893033
       0.930000      -7.934720      -3.274411       1.890506
       0.940000      -7.583304      -3.142093       1.887837
       0.950000      -7.239568      -3.014262       1.885200
       0.960000      -6.903605      -2.890822       1.882771
       0.970000      -6.575558      -2.772283       1.880706
       0.980000      -6.255553      -2.659682       1.879116
       0.990000      -5.943620      -2.554354       1.878057
       1.000000      -5.639606      -2.457586       1.877533
       1.010000      -5.343147      -2.370253       1.877507
       1.020000      -5.053740      -2.292502       1.877906
       1.030000      -4.770932      -2.223554       1.878635
       1.040000      -4.494622      -2.161652       1.879580
       1.050000      -4.225377      -2.104192       1.880629
       1.060000      -3.964690      -2.048035       1.881688
       1.070000      -3.715130      -1.989971       1.882699
       1.080000      -3.480384      -1.927253       1.883659
       1.090000      -3.265203      -1.858022       1.884613
       1.100000      -3.075250      -1.781505       1.885651
       1.110000      -2.916828      -1.697951       1.886876
