       0.010000 -195094.742530  -17452.186321       2.570519
       0.020000  -48748.850285   -4359.546058       2.517526
       0.030000  -21647.704804   -1934.981944       2.498875
       0.040000  -12162.239487   -1086.383199       2.489151
       0.050000   -7771.753109    -693.601772       2.481389
       0.060000   -5386.721750    -480.237491       2.472968
       0.070000   -3948.543513    -351.583958       2.462390
       0.080000   -3015.027854    -268.081208       2.448490
       0.090000   -2374.927225    -210.830292       2.430255
       0.100000   -1916.979239    -169.877305       2.406855
       0.110000   -1578.059580    -139.574951       2.377775
       0.120000   -1320.191489    -116.525726       2.342972
       0.130000   -1119.415858     -98.586195       2.302987
       0.140000    -960.011474     -84.349907       2.258936
       0.150000    -831.316002     -72.862985       2.212344
       0.160000    -725.891449     -63.459997       2.164882
       0.170000    -638.421502     -55.665298       2.118115
       0.180000    -565.025187     -49.131615       2.073364
       0.190000    -502.816505     -43.600635       2.031692
       0.200000    -449.614329     -38.877033       1.993954
       0.210000    -403.746810     -34.810944       1.960813
       0.220000    -363.916821     -31.285887       1.932707
       0.230000    -329.107763     -28.210294       1.909796
       0.240000    -298.516638     -25.511457       1.891934
       0.250000    -271.505914     -23.131148       1.878701
       0.260000    -247.568491     -21.022383       1.869473
       0.270000    -226.301872     -19.147006       1.863521
       0.280000    -207.388650     -17.473828       1.860094
       0.290000    -190.581058     -15.977144       1.858496
       0.300000    -175.687621     -14.635509       1.858138
       0.310000    -162.560282     -13.430679       1.858570
       0.320000    -151.080761     -12.346704       1.859505
       0.330000    -141.145846     -11.369221       1.860805
       0.340000    -132.652490     -10.485016       1.862458
       0.350000    -125.484765      -9.681918       1.864526
       0.360000    -119.505102      -8.948972       1.867089
       0.370000    -114.551550      -8.276710       1.870201
       0.380000    -110.441624      -7.657298       1.873870
       0.390000    -106.982496      -7.084447       1.878054
       0.400000    -103.986569      -6.553078       1.882674
       0.410000    -101.289942      -6.058890       1.887631
       0.420000     -98.769014      -5.597995       1.892821
       0.430000     -96.349455      -5.166729       1.898139
       0.440000     -94.003716      -4.761665       1.903488
       0.450000     -91.737524      -4.379748       1.908773
       0.460000     -89.570037      -4.018427       1.913902
       0.470000     -87.514527      -3.675716       1.918778
       0.480000     -85.566032      -3.350150       1.923295
       0.490000     -83.699673      -3.040674       1.927337
       0.500000     -81.879091      -2.746519       1.930770
       0.510000     -80.070278      -2.467097       1.933450
       0.520000     -78.254256      -2.201916       1.935222
       0.530000     -76.433414      -1.950539       1.935929
       0.540000     -74.629817      -1.712536       1.935432
       0.550000     -72.877064      -1.487453       1.933628
       0.560000     -71.208907      -1.274772       1.930480
       0.570000     -69.648068      -1.073877       1.926051
       0.580000     -68.198317      -0.884037       1.920520
       0.590000     -66.842091      -0.704421       1.914185
       0.600000     -65.544498      -0.534151       1.907422
       0.610000     -64.262379      -0.372369       1.900617
       0.620000     -62.955038      -0.218289       1.894102
       0.630000     -61.592815      -0.071209       1.888106
       0.640000     -60.161077       0.069518       1.882758
       0.650000     -58.659546       0.204522       1.878113
       0.660000     -57.098607       0.334435       1.874194
       0.670000     -55.494691       0.459869       1.871025
       0.680000     -53.866237       0.581377       1.868633
       0.690000     -52.230892       0.699399       1.867041
       0.700000     -50.603962       0.814247       1.866243
       0.710000     -48.997810       0.926112       1.866191
       0.720000     -47.421856       1.035093       1.866797
       0.730000     -45.882892       1.141235       1.867939
       0.740000     -44.385517       1.244559       1.869481
       0.750000     -42.932595       1.345085       1.871284
       0.760000     -41.525663       1.442838       1.873222
       0.770000     -40.165283       1.537859       1.875186
       0.780000     -38.851313       1.630205       1.877094
       0.790000     -37.583114       1.719944       1.878894
       0.800000     -36.359682       1.807161       1.880570
       0.810000     -35.179736       1.891960       1.882145
       0.820000     -34.041753       1.974461       1.883669
       0.830000     -32.943981       2.054803       1.885210
       0.840000     -31.884436       2.133142       1.886836
       0.850000     -30.860917       2.209642       1.888601
       0.860000     -29.871042       2.284469       1.890531
       0.870000     -28.912331       2.357782       1.892631
       0.880000     -27.982331       2.429729       1.894886
       0.890000     -27.078761       2.500439       1.897266
       0.900000     -26.199630       2.570020       1.899736
       0.910000     -25.343307       2.638560       1.902262
       0.920000     -24.508520       2.706129       1.904809
       0.930000     -23.694320       2.772783       1.907347
       0.940000     -22.900040       2.838563       1.909851
       0.950000     -22.125255       2.903496       1.912301
       0.960000     -21.369775       2.967597       1.914685
       0.970000     -20.633665       3.030863       1.917000
       0.980000     -19.917310       3.093266       1.919252
       0.990000     -19.221514       3.154751       1.921451
       1.000000     -18.547642       3.215222       1.923609
       1.010000     -17.897779       3.274538       1.925731
       1.020000     -17.274864       3.332502       1.927811
       1.030000     -16.682762       3.388862       1.929828
       1.040000     -16.126184       3.443308       1.931744
       1.050000     -15.610404       3.495496       1.933502
       1.060000     -15.140691       3.545084       1.935033
       1.070000     -14.721465       3.591790       1.936257
       1.080000     -14.355258       3.635471       1.937093
       1.090000     -14.041787       3.676194       1.937467
       1.100000     -13.777472       3.714283       1.937330
       1.110000     -13.555755       3.750309       1.936674
       1.120000     -13.368186       3.785011       1.935546
       1.130000     -13.205936       3.819178       1.934046
       1.140000     -13.061132       3.853518       1.932312
       1.150000     -12.927631       3.888570       1.930490
       1.160000     -12.801211       3.924653       1.928697
       1.170000     -12.679446       3.961851       1.926998
       1.180000     -12.561485       4.000013       1.925400
       1.190000     -12.447726       4.038765       1.923872
       1.200000     -12.339343       4.077536       1.922375
       1.210000     -12.237788       4.115597       1.920894
       1.220000     -12.144534       4.152122       1.919459
       1.230000     -12.061207       4.186264       1.918149
       1.240000     -11.989915       4.217269       1.917074
       1.250000     -11.933397       4.244624       1.916349
       1.260000     -11.894827       4.268228       1.916060
       1.270000     -11.877460       4.288526       1.916253
       1.280000     -11.884450       4.306513       1.916925
       1.290000     -11.918956       4.323552       1.918040
       1.300000     -11.984312       4.341029       1.919536
       1.310000     -12.083959       4.359962       1.921339
       1.320000     -12.221071       4.380721       1.923378
       1.330000     -12.398033       4.402945       1.925582
       1.340000     -12.615874       4.425689       1.927888
       1.350000     -12.873598       4.447727       1.930236
       1.360000     -13.167362       4.467954       1.932568
       1.370000     -13.489593       4.485793       1.934828
       1.380000     -13.828410       4.501514       1.936959
       1.390000     -14.167760       4.516354       1.938902
       1.400000     -14.488589       4.532354       1.940596
       1.410000     -14.771117       4.551926       1.941981
       1.420000     -14.997755       4.577307       1.943003
       1.430000     -15.155839       4.610083       1.943621
       1.440000     -15.239258       4.650958       1.943811
       1.450000     -15.248527       4.699766       1.943576
       1.460000     -15.189506       4.755652       1.942954
       1.470000     -15.071404       4.817312       1.942017
       1.480000     -14.904816       4.883197       1.940874
       1.490000     -14.700210       4.951661       1.939657
       1.500000     -14.467044       5.021060       1.938512
       1.510000     -14.213386       5.089839       1.937581
       1.520000     -13.945871       5.156634       1.936987
       1.530000     -13.669819       5.220402       1.936816
       1.540000     -13.389416       5.280582       1.937111
       1.550000     -13.107892       5.337211       1.937872
       1.560000     -12.827687       5.390923       1.939058
       1.570000     -12.550599       5.442765       1.940605
       1.580000     -12.277918       5.493815       1.942430
       1.590000     -12.010529       5.544726       1.944445
       1.600000     -11.749013       5.595363       1.946554
       1.610000     -11.493713       5.644664       1.948662
       1.620000     -11.244801       5.690774       1.950667
       1.630000     -11.002318       5.731403       1.952460
       1.640000     -10.766218       5.764318       1.953925
       1.650000     -10.536388       5.787838       1.954942
       1.660000     -10.312675       5.801162       1.955388
       1.670000     -10.094897       5.804392       1.955159
       1.680000      -9.882862       5.798145       1.954186
       1.690000      -9.676373       5.782866       1.952463
