  # energy grid [eV]     epsi_x  epsi_y  epsi_z
       0.000000            NaN            NaN            NaN
       0.010000       1.164365       0.460333       2.644617
       0.020000       2.325582       0.921495       3.462870
       0.030000       3.480874       1.384406       3.291572
       0.040000       4.628579       1.850260       2.873925
       0.050000       5.769283       2.320808       2.460449
       0.060000       6.906778       2.798524       2.106689
       0.070000       8.047954       3.286372       1.815015
       0.080000       9.200827       3.786902       1.576260
       0.090000      10.370629       4.300631       1.380505
       0.100000      11.554662       4.823940       1.219422
       0.110000      12.737162       5.346966       1.086447
       0.120000      13.885701       5.852093       0.976450
       0.130000      14.950838       6.313885       0.885373
       0.140000      15.870632       6.701240       0.809937
       0.150000      16.580764       6.982186       0.747421
       0.160000      17.028779       7.130652       0.695519
       0.170000      17.188186       7.133166       0.652265
       0.180000      17.066738       6.992771       0.616013
       0.190000      16.705141       6.728365       0.585444
       0.200000      16.166947       6.369809       0.559578
       0.210000      15.524332       5.951076       0.537753
       0.220000      14.845214       5.504068       0.519551
       0.230000      14.185043       5.054682       0.504691
       0.240000      13.583686       4.621357       0.492898
       0.250000      13.066068       4.215412       0.483793
       0.260000      12.644829       3.842352       0.476809
       0.270000      12.323667       3.503469       0.471180
       0.280000      12.100630       3.197365       0.465995
       0.290000      11.971023       2.921212       0.460324
       0.300000      11.929807       2.671698       0.453379
       0.310000      11.973429       2.445635       0.444642
       0.320000      12.101086       2.240280       0.433920
       0.330000      12.315391       2.053433       0.421288
       0.340000      12.622403       1.883400       0.406978
       0.350000      13.031030       1.728871       0.391271
       0.360000      13.551928       1.588780       0.374426
       0.370000      14.196089       1.462184       0.356669
       0.380000      14.973266       1.348170       0.338210
       0.390000      15.890231       1.245824       0.319273
       0.400000      16.948741       1.154220       0.300121
       0.410000      18.143117       1.072440       0.281065
       0.420000      19.457530       0.999589       0.262440
       0.430000      20.863455       0.934808       0.244576
       0.440000      22.318162       0.877282       0.227751
       0.450000      23.765313       0.826231       0.212163
       0.460000      25.138408       0.780898       0.197921
       0.470000      26.366939       0.740536       0.185041
       0.480000      27.384111       0.704395       0.173471
       0.490000      28.134740       0.671724       0.163102
       0.500000      28.582500       0.641799       0.153796
       0.510000      28.715979       0.613965       0.145407
       0.520000      28.552102       0.587695       0.137802
       0.530000      28.134482       0.562631       0.130880
       0.540000      27.525080       0.538589       0.124573
       0.550000      26.790568       0.515517       0.118852
       0.560000      25.987611       0.493432       0.113711
       0.570000      25.151837       0.472353       0.109160
       0.580000      24.293670       0.452263       0.105213
       0.590000      23.401796       0.433109       0.101884
       0.600000      22.452882       0.414823       0.099184
       0.610000      21.424310       0.397353       0.097117
       0.620000      20.305521       0.380687       0.095688
       0.630000      19.103943       0.364854       0.094897
       0.640000      17.843892       0.349907       0.094741
       0.650000      16.560089       0.335901       0.095211
       0.660000      15.289388       0.322878       0.096288
       0.670000      14.064027       0.310853       0.097936
       0.680000      12.907954       0.299819       0.100097
       0.690000      11.836053       0.289745       0.102680
       0.700000      10.855261       0.280590       0.105561
       0.710000       9.966468       0.272301       0.108585
       0.720000       9.166486       0.264823       0.111576
       0.730000       8.449696       0.258102       0.114348
       0.740000       7.809269       0.252087       0.116723
       0.750000       7.237996       0.246729       0.118539
       0.760000       6.728811       0.241985       0.119657
       0.770000       6.275084       0.237817       0.119977
       0.780000       5.870769       0.234191       0.119452
       0.790000       5.510457       0.231079       0.118114
       0.800000       5.189370       0.228457       0.116077
